Date,Temp,Sal,Depth,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1973-01-02T09:00,5.7,33.611,,,,,,,,,,,,,,
1973-01-03T09:35,5.8,33.582,8,5.73,1.36,3.5,10.59,0.75,3.8,54120,0,54120,6.35,0,6.35,Erik Hagmeier; Peter Weigel; N.N.
1973-01-04T09:00,5.8,33.582,,,,,,,,,,,,,,
1973-01-05T09:45,5.9,33.565,5,6.21,1.33,3.5,11.04,0.72,4.1,213860,0,213860,5.95,0,5.95,Erik Hagmeier; Peter Weigel; N.N.
1973-01-08T09:30,5.9,33.56,5,5.75,1.31,3.6,10.66,0.77,4.6,,,,,,,
1973-01-09T09:00,6,33.568,,,,,,,,,,,,,,
1973-01-10T09:50,5.9,33.529,4.9,6.47,1.23,3.1,10.8,0.8,4.1,38880,1780,37100,2.66,0.34,2.32,Erik Hagmeier; Peter Weigel; N.N.
1973-01-11T09:00,5.9,33.481,,,,,,,,,,,,,,
1973-01-12T09:50,5.9,33.511,6,6.68,1.32,3.4,11.4,,3.6,158450,5020,153430,8.78,1.24,7.55,Erik Hagmeier; Peter Weigel; N.N.
1973-01-15T09:40,5.6,33.509,5.1,5.77,1.32,3.4,10.49,0.72,3.8,180250,6550,173700,5.81,2.21,3.6,Erik Hagmeier; Peter Weigel; N.N.
1973-01-16T09:00,5.5,33.305,,,,,,,,,,,,,,
1973-01-17T09:20,5.5,33.322,7.2,6.61,1.93,3.2,11.74,0.78,4,21080,40,21040,2.97,0.16,2.81,Erik Hagmeier; Peter Weigel; N.N.
1973-01-18T09:00,5.6,33.421,,,,,,,,,,,,,,
1973-01-19T09:30,5.4,33.335,5.1,6.25,1.68,2.5,10.43,0.88,4.6,,,,,,,
1973-01-22T09:20,5.2,33.361,4.2,7.22,1.73,2.6,11.55,0.84,5,71750,11750,60000,6.02,4.82,1.2,Erik Hagmeier; Peter Weigel; N.N.
1973-01-23T09:00,5.2,33.383,,,,,,,,,,,,,,
1973-01-24T09:20,5.2,33.352,3.8,7.67,1.84,2.6,12.11,0.83,4.7,35820,15120,20700,5.19,2.36,2.84,Erik Hagmeier; Peter Weigel; N.N.
1973-01-25T09:00,5.1,33.46,,,,,,,,,,,,,,
1973-01-26T09:20,5.2,33.451,4,6.06,1.84,2.8,10.7,0.86,5.4,,,,,,,
1973-01-29T09:15,5.3,33.359,2,8.16,1.82,3.1,13.08,0.86,5.3,170490,1050,169440,4.2,0.32,3.88,Erik Hagmeier; Peter Weigel; N.N.
1973-01-30T09:00,5.4,33.451,,,,,,,,,,,,,,
1973-01-31T09:10,5.4,33.45,4,9.32,1.89,2.6,13.81,0.86,4.8,44380,21040,23340,2.91,2.04,0.87,Erik Hagmeier; Peter Weigel; N.N.
1973-02-01T09:00,5.3,33.441,,,,,,,,,,,,,,
1973-02-02T09:10,5.3,33.387,4,8.29,1.95,3.3,13.54,0.84,10.8,234193,510,233683,4.95,0.11,4.84,Erik Hagmeier; Peter Weigel; N.N.
1973-02-05T09:15,5.1,33.433,3.4,9.05,1.95,2.4,13.4,0.8,5.6,,,,,,,
1973-02-06T09:00,5.2,33.432,,,,,,,,,,,,,,
1973-02-07T08:50,5.3,33.42,1.5,9.62,1.86,2.9,14.38,1.01,5.4,27360,10680,16680,6.14,5.46,0.68,Erik Hagmeier; Peter Weigel; N.N.
1973-02-08T09:00,5.3,33.254,,,,,,,,,,,,,,
1973-02-09T09:00,5.3,33.287,1.8,7.01,1.87,2.9,11.78,0.98,6,95180,1400,93780,4.04,1.72,2.32,Erik Hagmeier; Peter Weigel; N.N.
1973-02-12T09:00,5,33.166,2,10.69,1.92,2.8,15.41,1.06,6.6,192320,1200,191120,6.35,0.48,5.87,Erik Hagmeier; Peter Weigel; N.N.
1973-02-15T09:25,4.7,33.14,2,9.61,2.17,3.2,14.98,1.11,6.9,147300,5550,141750,4.57,1.42,3.15,Erik Hagmeier; Peter Weigel; N.N.
1973-02-16T09:00,4.6,33.046,,,,,,,,,,,,,,
1973-02-19T09:10,4.7,33.196,1.6,11.11,2.09,3.1,16.3,1.14,6.9,57040,29560,27480,10,8.21,1.79,Erik Hagmeier; Peter Weigel; N.N.
1973-02-20T09:00,4.7,33.18,,,,,,,,,,,,,,
1973-02-21T09:10,4.8,33.185,2,10.1,2.13,3.1,15.33,1.12,6.9,,,,,,,
1973-02-22T09:00,4.8,33.221,,,,,,,,,,,,,,
1973-02-23T09:10,4.5,33.148,1,7.51,1.43,3.2,12.14,,,137310,9520,127790,10.02,4.35,5.67,Erik Hagmeier; Peter Weigel; N.N.
1973-02-26T09:10,4.2,32.928,2.1,9.48,2.25,1.6,13.33,1.11,8.6,194090,5610,188480,10.22,5.21,5.01,Erik Hagmeier; Peter Weigel; N.N.
1973-02-27T09:00,3.8,32.441,,,,,,,,,,,,,,
1973-02-28T09:30,4.2,32.741,3,12.49,2.34,2.7,17.53,1.05,8.9,100840,14140,86700,4.75,2.02,2.73,Erik Hagmeier; Peter Weigel; N.N.
1973-03-01T09:00,4.2,32.86,,,,,,,,,,,,,,
1973-03-02T09:00,4.3,32.937,2.1,10.82,2.26,2.6,15.68,1.09,8.8,193690,32990,160700,9.45,5.9,3.55,Erik Hagmeier; Peter Weigel; N.N.
1973-03-05T09:05,4.5,32.935,3,12.11,2.35,2.7,17.16,0.96,8.9,,,,,,,
1973-03-06T09:00,4.5,32.694,,,,,,,,,,,,,,
1973-03-07T08:55,4.6,32.835,2.8,9.82,2.39,1.5,13.71,0.96,8.9,140620,23580,117040,8.66,5.46,3.2,Erik Hagmeier; Peter Weigel; N.N.
1973-03-08T09:00,4.6,32.842,,,,,,,,,,,,,,
1973-03-09T09:00,4.4,32.421,2.1,11.91,2.45,2.1,16.46,1.01,1.9,228260,17210,211050,8.92,4.69,4.23,Erik Hagmeier; Peter Weigel; N.N.
1973-03-12T08:55,4.4,32.142,2.1,14.27,2.5,1.3,18.07,1.12,11.6,114500,4500,110000,2.79,0.59,2.2,Erik Hagmeier; Peter Weigel; N.N.
1973-03-13T09:00,4.3,30.892,,,,,,,,,,,,,,
1973-03-14T09:00,4.2,30.423,2.2,18.21,2.69,1.6,22.5,1.28,19,71040,7740,63300,3.08,1.81,1.27,Erik Hagmeier; Peter Weigel; N.N.
1973-03-15T09:00,4.4,31.325,,,,,,,,,,,,,,
1973-03-16T08:40,4.5,30.53,2.2,21.43,2.67,2.3,26.4,1.14,17.6,,,,,,,
1973-03-19T09:00,4.7,32.416,2.2,13.71,2.21,2.9,18.82,1.14,10.7,475550,32550,443000,12.53,2.02,10.51,Erik Hagmeier; Peter Weigel; N.N.
1973-03-20T09:00,4.8,32.519,,,,,,,,,,,,,,
1973-03-21T09:20,4.9,32.562,3.1,13.39,2.2,2.4,17.99,1.08,9.6,70000,16700,53300,3.53,1.8,1.73,Erik Hagmeier; Peter Weigel; N.N.
1973-03-22T09:00,4.9,32.671,,,,,,,,,,,,,,
1973-03-23T08:50,5.1,32.808,4.8,13.96,1.98,2,17.94,0.92,9.7,,,,,,,
1973-03-26T08:45,5.5,31.178,3,19.21,2.46,1.9,23.57,1.14,14.3,216190,2490,213700,22.22,15.91,6.31,Erik Hagmeier; Peter Weigel; N.N.
1973-03-27T09:00,5.5,30.486,,,,,,,,,,,,,,
1973-03-28T09:00,5.6,28.691,1.9,26.9,2.67,2.9,32.47,1.28,23.8,384500,314500,70000,32.83,30.23,2.6,Erik Hagmeier; Peter Weigel; N.N.
1973-03-29T09:00,5.8,28.857,,,,,,,,,,,,,,
1973-03-30T09:05,5.9,29.163,2.4,28.63,2.57,1.5,32.7,1.23,23.8,273770,23420,250350,9.77,4.49,5.28,Erik Hagmeier; Peter Weigel; N.N.
1973-04-02T09:00,5.6,32.04,2.4,16.62,1.67,1.5,19.79,1.11,,250740,10040,240700,7.17,1.81,5.36,Erik Hagmeier; Peter Weigel; N.N.
1973-04-04T09:35,5.5,32.137,1.4,15.16,1.44,1.9,18.5,0.96,,114520,41040,73480,8.42,5.78,2.64,Erik Hagmeier; Peter Weigel; N.N.
1973-04-05T09:00,5.6,31.956,,,,,,,,,,,,,,
1973-04-06T08:45,5.6,32.32,1.9,13.77,1.61,2,17.38,1.08,,,,,,,,
1973-04-09T08:55,5.6,31.361,1.8,17.56,1.81,2.7,22.07,1.24,12.9,508810,348460,160350,69.48,65.23,4.25,Erik Hagmeier; Peter Weigel; N.N.
1973-04-10T09:00,5.8,30.61,,,,,,,,,,,,,,
1973-04-11T09:00,5.7,32.251,1.8,14.54,1.58,3.1,19.22,1.19,7.2,127800,37720,90080,18.7,16.76,1.94,Erik Hagmeier; Peter Weigel; N.N.
1973-04-12T09:00,5.6,31.156,,,,,,,,,,,,,,
1973-04-13T08:55,5.7,30.613,1.8,21.72,2.02,3.2,26.94,1.32,10.9,,,,,,,
1973-04-16T09:20,6.2,31.27,3,19.96,1.9,2.7,24.56,1.08,12.3,485110,24020,461090,17.46,5.33,12.13,Erik Hagmeier; Peter Weigel; N.N.
1973-04-17T09:00,6,31.571,,,,,,,,,,,,,,
1973-04-18T09:10,5.8,31.838,1.4,15.84,1.51,2.6,19.95,1.23,12.1,195360,98660,96700,19.72,16.96,2.77,Erik Hagmeier; Peter Weigel; N.N.
1973-04-19T09:00,5.9,31.671,,,,,,,,,,,,,,
1973-04-21T10:05,6.3,31.121,,21.73,1.75,2.9,26.38,1.15,10.2,181740,97740,84000,23.82,16.88,6.94,Erik Hagmeier; Peter Weigel; N.N.
1973-04-24T09:10,7.1,28.925,2,28.58,2,3.1,33.68,1.08,2.4,491950,382480,109470,29.78,17.58,12.2,Erik Hagmeier; Peter Weigel; N.N.
1973-04-25T09:00,7.2,29.62,2.6,20.54,1.9,3.1,25.54,1.05,2.4,458160,186760,271400,52.19,42.74,9.45,Erik Hagmeier; Peter Weigel; N.N.
1973-04-26T09:00,7.1,29.823,,,,,,,,,,,,,,
1973-04-27T08:50,7.1,29.985,2.3,30.74,1.74,3.3,35.78,0.95,7.5,489140,199540,289600,50.27,33.61,16.66,Erik Hagmeier; Peter Weigel; N.N.
1973-04-30T08:30,7.9,29.874,3.3,33.77,1.7,3.1,38.57,0.57,4.1,1114180,280780,833400,59.95,26.51,33.44,Erik Hagmeier; Peter Weigel; N.N.
1973-05-02T08:50,7.8,30.376,3,27.62,1.61,2.7,31.93,0.64,3.4,1493420,847810,645610,137.4,106.08,31.32,Erik Hagmeier; Peter Weigel; N.N.
1973-05-03T09:00,8,30.146,,,,,,,,,,,,,,
1973-05-04T09:45,8.2,30.186,3.2,27.72,1.48,2.5,31.7,0.81,1.1,723297,635750,87547,46.03,42.73,3.3,Erik Hagmeier; Peter Weigel; N.N.
1973-05-07T09:00,8.4,29.638,2.2,23.99,1.42,2.8,28.21,0.85,2,459760,383640,76120,25.41,23.07,2.34,Erik Hagmeier; Peter Weigel; N.N.
1973-05-08T09:00,8.4,29.921,,,,,,,,,,,,,,
1973-05-09T09:10,8.3,30.589,3.1,19.13,1.27,2.3,22.7,0.79,4,442160,235260,206900,39.88,30.58,9.3,Erik Hagmeier; Peter Weigel; N.N.
1973-05-10T09:00,9,29.491,,,,,,,,,,,,,,
1973-05-11T08:25,8.2,30.888,2,22.73,1.12,2.4,26.25,0.91,1.3,362680,152380,210300,26.1,20.23,5.87,Erik Hagmeier; Peter Weigel; N.N.
1973-05-14T08:50,8.4,31.57,4.1,16.84,1.04,2.6,20.48,0.95,0.7,334670,163660,171010,19.21,10.28,8.93,Erik Hagmeier; Peter Weigel; N.N.
1973-05-15T09:00,8.4,31.776,,,,,,,,,,,,,,
1973-05-16T09:20,8.6,31.423,4.1,11.34,1.03,2.7,15.07,0.67,1.1,318200,47600,270600,43.47,5.85,37.61,Erik Hagmeier; Peter Weigel; N.N.
1973-05-17T09:00,9.4,30.615,,,,,,,,,,,,,,
1973-05-18T09:15,9.9,30.295,3.9,17.77,1.08,2.1,20.95,0.73,1.8,380020,129020,251000,32.5,20.5,12,Erik Hagmeier; Peter Weigel; N.N.
1973-05-21T09:20,10.1,31.036,3.8,16.18,0.95,2,19.13,0.73,0.7,216840,13500,203340,10.41,5.51,4.9,Erik Hagmeier; Peter Weigel; N.N.
1973-05-22T09:00,11.4,29.403,,,,,,,,,,,,,,
1973-05-23T08:55,10.9,29.503,3,14.74,0.96,2.4,18.1,0.75,2.7,403860,293620,110240,25.61,20.13,5.48,Erik Hagmeier; Peter Weigel; N.N.
1973-05-24T09:00,10.8,29.942,,,,,,,,,,,,,,
1973-05-25T09:00,9.7,31.342,3.5,10.16,0.78,2.5,13.44,0.68,2.2,143890,73450,70440,22.9,17.68,5.21,Erik Hagmeier; Peter Weigel; N.N.
1973-05-28T08:55,11.2,30.352,4.4,12.73,0.76,3.1,16.59,0.62,1.5,339160,15860,323300,20.27,3.54,16.73,Erik Hagmeier; Peter Weigel; N.N.
1973-05-29T09:00,10.5,31.773,,,,,,,,,,,,,,
1973-05-30T08:35,11.2,32.028,4.8,10.42,0.64,2.5,13.56,0.31,2.3,662320,14580,647740,31.72,6.34,25.38,Erik Hagmeier; Peter Weigel; N.N.
1973-06-01T09:15,10.8,32.894,3.8,3.51,0.45,1.7,5.66,0.34,0.7,4961530,4820,4956710,64.58,2.21,62.37,Erik Hagmeier; Peter Weigel; N.N.
1973-06-04T09:00,10.8,32.48,5.6,6.01,0.49,2.5,9,0.39,1.6,197080,23460,173620,18.62,14.19,4.43,Erik Hagmeier; Peter Weigel; N.N.
1973-06-05T09:00,10.4,33.015,,,,,,,,,,,,,,
1973-06-06T09:00,12.4,31.204,6,9.58,0.52,1.3,11.4,0.42,2.2,422340,27400,394940,53.24,36.77,16.47,Erik Hagmeier; Peter Weigel; N.N.
1973-06-07T09:00,12.4,31.207,,,,,,,,,,,,,,
1973-06-08T08:50,12.6,30.971,6,5.78,0.51,1.8,8.09,0.47,2.8,353170,28990,324180,43.78,29.34,14.44,Erik Hagmeier; Peter Weigel; N.N.
1973-06-12T08:45,12.2,31.909,5.9,,,,,,,210770,155980,54790,92.55,86.66,5.89,Erik Hagmeier; Peter Weigel; N.N.
1973-06-13T08:40,12.6,31.873,6,2.72,0.48,2.4,5.6,0.29,0.5,232450,155860,76590,69.57,66.13,3.44,Erik Hagmeier; Peter Weigel; N.N.
1973-06-14T09:00,11.8,32.805,,,,,,,,,,,,,,
