Date,Temp,Sal,Depth,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1970-01-01T09:00,3.4,,,,,,,,,,,,,,,
1970-01-02T09:00,4,,,,,,,,,,,,,,,
1970-01-03T09:00,3.9,,,,,,,,,,,,,,,
1970-01-05T09:50,3.8,34.175,1,,0.33,,,0.65,4.1,200,200,0,2.58,2.58,0,Margrit Kanje
1970-01-06T09:00,3.7,34.151,,,,,,,,,,,,,,
1970-01-07T09:50,3.7,34.168,,,0.12,,,0.72,4.6,840,760,80,0.49,0.25,0.24,Margrit Kanje
1970-01-08T09:00,3.2,,,,,,,,,,,,,,,
1970-01-09T09:00,2.8,,,,,,,,,,,,,,,
1970-01-10T09:00,2.9,,,,,,,,,,,,,,,
1970-01-11T09:00,3.4,,,,,,,,,,,,,,,
1970-01-12T09:30,3.8,34.412,2.5,,0.14,,,0.61,3.6,1240,1080,160,0.51,0.25,0.26,Margrit Kanje
1970-01-13T09:00,3.9,34.429,,,,,,,,,,,,,,
1970-01-14T09:00,3.9,34.412,2.7,,0.42,9.3,,0.56,3.6,1160,1040,120,1.75,1.35,0.4,Margrit Kanje
1970-01-15T09:00,3.5,,,,,,,,,,,,,,,
1970-01-16T09:00,3,,,,,,,,,,,,,,,
1970-01-17T09:00,2.4,,,,,,,,,,,,,,,
1970-01-18T09:00,2.1,,,,,,,,,,,,,,,
1970-01-19T09:50,2.3,34.413,3.5,,0.42,6.2,,0.51,3.2,560,520,40,0.32,0.16,0.16,Margrit Kanje
1970-01-20T09:00,2.5,34.41,,,,,,,,,,,,,,
1970-01-21T09:10,1.9,34.348,3,,0.45,6,,0.52,2.3,1160,1040,120,1.25,0.33,0.92,Margrit Kanje
1970-01-22T09:00,1.7,34.352,,,,,,,,,,,,,,
1970-01-23T09:00,1.5,,,,,,,,,,,,,,,
1970-01-24T09:00,1.5,,,,,,,,,,,,,,,
1970-01-25T09:00,1.8,,,,,,,,,,,,,,,
1970-01-26T09:40,2.3,34.201,4.8,,0.47,7,,0.45,2,480,480,0,0.16,0.16,0,Margrit Kanje
1970-01-27T09:00,2.2,34.111,,,,,,,,,,,,,,
1970-01-28T09:30,2.2,34.119,3.5,,0.5,2.6,,2.47,2.1,1120,1080,40,0.41,0.35,0.06,Margrit Kanje
1970-01-29T09:00,2.1,34.093,,,,,,,,,,,,,,
1970-01-30T09:40,1.9,34.039,3,,0.42,3.3,,0.51,0.3,1040,760,280,3.83,1.03,2.8,Margrit Kanje
1970-02-02T14:30,1.5,34.1,3.3,,0.51,6.4,,0.54,2.4,2280,2200,80,0.74,0.6,0.14,Margrit Kanje
1970-02-03T09:00,1.7,34.075,,,,,,,,,,,,,,
1970-02-04T08:40,2.2,34.194,0.6,,0.41,7.6,,1,3,2480,2480,0,1.77,1.77,0,Margrit Kanje
1970-02-05T09:00,1.4,33.704,,,,,,,,,,,,,,
1970-02-06T09:35,1.3,33.706,1.5,9.57,0.46,9.3,19.33,0.7,6.1,480,480,0,0.16,0.16,0,Margrit Kanje
1970-02-09T10:10,1.8,33.976,1.4,7.78,0.43,9.4,17.61,0.75,4.6,680,680,0,0.86,0.86,0,Margrit Kanje
1970-02-11T09:05,1.5,33.874,1.5,8.28,,8.5,,,5.1,1880,1880,0,1.95,1.95,0,Margrit Kanje
1970-02-12T09:00,1.3,33.809,,,,,,,,,,,,,,
1970-02-13T09:35,0.9,33.85,1.5,9.28,0.44,6.9,16.62,0.68,5.6,1080,1080,0,0.41,0.41,0,Margrit Kanje
1970-02-16T09:00,0.8,33.709,2.2,9.78,0.44,6.6,16.82,0.65,6.6,880,880,0,0.34,0.34,0,Margrit Kanje
1970-02-17T09:00,0.6,33.633,,,,,,,,,,,,,,
1970-02-18T09:10,0.1,33.311,,7.07,0.41,6.2,13.68,0.67,4.5,1640,1640,0,0.61,0.61,0,Margrit Kanje
1970-02-19T09:00,0.3,33.362,,,,,,,,,,,,,,
1970-02-20T09:30,0.8,33.637,2.3,10.28,0.47,8.7,19.45,0.68,6.1,3280,3280,0,0.82,0.82,0,Margrit Kanje
1970-02-23T09:25,1,33.591,2,10.21,0.46,5.9,16.57,0.67,4.6,2480,2480,0,0.77,0.77,0,Margrit Kanje
1970-02-24T09:00,1.1,33.575,,,,,,,,,,,,,,
1970-02-25T09:15,1.2,33.558,2.1,8.93,0.5,7.2,16.63,0.64,2,1440,1440,0,0.74,0.74,0,Margrit Kanje
1970-02-26T09:00,1.2,33.552,,,,,,,,,,,,,,
1970-02-27T09:00,0.8,33.404,2.5,10.07,0.53,6.1,16.7,0.64,3.6,1520,1480,40,0.68,0.56,0.12,Margrit Kanje
1970-02-28T09:00,0.2,,,,,,,,,,,,,,,
1970-03-02T09:10,0.7,32.974,2,15,0.6,11.5,27.1,0.79,5.6,4800,4800,0,1.27,1.27,0,Margrit Kanje
1970-03-03T09:00,0.7,32.597,,,,,,,,,,,,,,
1970-03-04T09:00,0.6,32.548,2.5,17.3,0.62,11.8,29.72,0.75,2.3,10320,10280,40,1.48,1.36,0.12,Margrit Kanje
1970-03-05T09:00,0.6,32.563,,,,,,,,,,,,,,
1970-03-06T09:10,0.7,32.561,1.5,14.36,0.65,9.8,24.81,0.87,3.6,8040,8000,40,1.82,1.7,0.12,Margrit Kanje
1970-03-09T09:00,0.7,32.462,2.6,18.78,0.76,12.5,32.04,0.73,7.7,12240,12240,0,1.37,1.37,0,Margrit Kanje
1970-03-10T09:00,0.8,32.544,,,,,,,,,,,,,,
1970-03-11T09:00,0.7,32.559,2.4,10.14,0.78,6.4,17.32,0.76,3.6,20300,20260,40,2.09,1.97,0.12,Margrit Kanje
1970-03-12T09:00,0.7,32.35,,,,,,,,,,,,,,
1970-03-13T09:00,0.9,32.251,,19.86,0.88,12.9,33.64,0.8,5.6,13720,13720,0,2.13,2.13,0,Margrit Kanje
1970-03-16T08:55,0.9,29.735,1.8,38.07,0.96,12.6,41.63,1.24,,42940,42940,0,2.98,2.98,0,Margrit Kanje
1970-03-17T09:00,1.2,30.919,,,,,,,,,,,,,,
1970-03-18T08:45,1.5,32.375,1.7,19.14,0.95,6.1,26.19,0.94,,7040,7040,0,15.48,15.48,0,Margrit Kanje
1970-03-19T09:00,1.4,32.306,,,,,,,,,,,,,,
1970-03-20T09:00,1.6,32.293,1.5,20.36,0.91,6.6,27.87,1.04,,24720,24720,0,3.29,3.29,0,Margrit Kanje
1970-03-23T08:50,1.6,31.595,2.1,15.21,1.06,8.8,25.07,0.89,,69760,69760,0,4.63,4.63,0,Margrit Kanje
1970-03-24T09:00,1.7,31.123,,,,,,,,,,,,,,
1970-03-25T09:10,1.7,31.163,2.2,12.5,1.13,7.1,20.73,0.96,,171280,171280,0,19.47,19.47,0,Margrit Kanje
1970-03-26T09:00,2,30.541,,,,,,,,,,,,,,
1970-03-27T09:00,1.8,,,,,,,,,,,,,,,
1970-03-30T09:00,2.2,,,,,,,,,,,,,,,
1970-03-31T08:50,2.4,29.411,,26.5,,8.3,,,,,,,,,,
1970-04-01T09:10,2.4,29.247,1.5,29.14,1.44,4.6,35.18,1,,257020,256980,40,17.15,17.03,0.12,Margrit Kanje
1970-04-02T09:00,2.3,28.77,,,,,,,,272180,272180,0,20.06,20.06,0,Margrit Kanje
1970-04-03T09:15,2.6,29.973,,35.93,1.63,3.6,41.16,1.2,,605880,605840,40,32.43,32.31,0.12,Margrit Kanje
1970-04-06T09:10,2.8,28.712,1.5,36.57,1.84,4.2,42.61,1.36,,495420,495300,120,20.84,20.48,0.36,Margrit Kanje
