Date,Temp,Sal,Depth,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1971-01-01T09:00,4.7,,,,,,,,,,,,,,,
1971-01-02T09:00,5,,,,,,,,,,,,,,,
1971-01-03T09:00,4.3,,,,,,,,,,,,,,,
1971-01-04T09:30,5,33.04,3,3.65,1.71,8,13.36,0.81,3.2,202030,9030,193000,7.46,3.6,3.86,Margrit Kanje
1971-01-05T09:00,5.6,33.795,,,,,,,,,,,,,,
1971-01-06T09:30,4.3,32.472,2,13.11,1.57,7.9,22.58,0.93,10.6,23840,1760,22080,1.92,0.53,1.39,Margrit Kanje
1971-01-07T09:00,4.6,33.364,,,,,,,,,,,,,,
1971-01-08T09:55,4.8,33.182,3,12.12,1.76,9.4,23.28,0.8,8.4,178120,4820,173300,8.31,4.84,3.47,Margrit Kanje
1971-01-11T09:10,4.8,33.077,3,4.4,1.67,4.3,10.37,0.92,2.4,,,,,,,
1971-01-12T09:00,4.7,33.3,,,,,,,,,,,,,,
1971-01-13T09:00,4.9,33.592,3,1.69,1.96,5.9,9.55,0.66,1.2,16540,0,16540,0.65,0,0.65,Margrit Kanje
1971-01-14T09:00,4.8,33.768,,,,,,,,,,,,,,
1971-01-15T09:35,5.1,33.78,3,8.6,2.17,7,17.77,0.82,5.4,154610,27910,126700,11.67,9.14,2.53,Margrit Kanje
1971-01-18T09:00,4.9,,,,,,,,,,,,,,,
1971-01-19T09:00,4.9,,,,,,,,,,,,,,,
1971-01-20T08:15,4.9,33.826,2.2,7.72,2.12,7.7,17.54,0.82,5.4,16080,0,16080,0.63,0,0.63,Margrit Kanje
1971-01-21T09:00,4.9,33.68,,,,,,,,,,,,,,
1971-01-22T09:10,4.8,33.781,3.5,3.56,2.35,8,13.91,0.74,2.8,,,,,,,
1971-01-25T09:15,5.1,33.9,3,1.41,2.01,5.3,8.72,0.67,,,,,,,,
1971-01-26T09:00,5,33.894,,,,,,,,,,,,,,
1971-01-27T14:15,5,33.834,,3.15,2.34,5.3,10.79,0.83,1.6,32320,320,32000,1.54,0.1,1.44,Margrit Kanje
1971-01-28T09:00,4.9,33.827,,,,,,,,,,,,,,
1971-01-29T09:15,5,33.83,3,5.01,2.19,8.5,15.7,0.94,5.1,228430,1480,226950,9.5,4.69,4.81,Margrit Kanje
