Date,Temp,Sal,Depth,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1982-01-04T09:20,5.2,32.496,1.5,22.57,4.29,2.58,29.44,1.25,2.7,1051530,1225,1050300,30.4,0.62,29.78,Klaus Treutner
1982-01-05T09:20,4.4,32.384,1.7,21.64,4.48,2.9,29.02,1.16,2.4,1175780,375,1175400,32.46,0.17,32.29,Klaus Treutner
1982-01-07T09:25,2.4,30.661,1,35.98,3.11,4.25,43.34,0.99,5.1,876500,950,875550,24.5,0.69,23.81,Klaus Treutner
1982-01-08T09:10,2.2,30.968,1.1,37.77,3.43,3.12,44.32,1.14,3.4,1201350,900,1200450,34.49,0.44,34.05,Klaus Treutner
1982-01-11T09:30,3.3,32.102,1.5,19.51,4.03,4.09,27.63,1.02,3.3,926700,1050,925650,27.78,0.47,27.32,Klaus Treutner
1982-01-12T09:20,3.2,32.216,1.8,20.96,4.08,3.59,28.63,1.02,4,1176130,825,1175300,32.78,0.5,32.28,Klaus Treutner
1982-01-13T09:25,2.7,31.816,2,23.07,4.05,3.18,30.3,1.02,4.6,1100850,300,1100550,33.93,0.62,33.31,Klaus Treutner
1982-01-14T09:15,2.8,32.076,1.5,24.09,4.15,2.7,30.94,0.96,4.3,1376550,1300,1375250,40.67,0.65,40.03,Klaus Treutner
1982-01-15T09:35,2.6,32.159,1.8,23.95,4.16,2.93,31.04,1.19,4.4,725575,225,725350,19.73,0.2,19.54,Klaus Treutner
1982-01-18T09:10,2.9,32.374,2.8,23.95,4.28,2.29,30.52,1.05,4,750625,475,750150,21.6,0.33,21.27,Klaus Treutner
1982-01-19T09:15,2.4,31.724,2.5,29.4,3.9,3.17,36.47,1.23,5.3,676625,1625,675000,22.87,0.62,22.25,Klaus Treutner
1982-01-20T09:15,2.2,31.691,2.8,28.51,3.69,2.4,34.6,1.17,5,752200,1800,750400,21.83,0.54,21.29,Klaus Treutner
1982-01-21T08:50,3,32.502,2.8,24.63,4.02,1.61,30.26,1.09,3.5,850850,200,850650,22.13,0.06,22.07,Klaus Treutner
1982-01-22T09:10,3,32.666,2.6,25.02,3.93,1.49,30.44,1.12,3.1,1426750,1150,1425600,37.91,0.6,37.31,Klaus Treutner
1982-01-25T08:50,3.1,32.734,3,26.14,3.61,1.19,30.94,1.06,3.1,575475,275,575200,15.48,0.21,15.27,Klaus Treutner
1982-01-26T14:50,3.1,32.696,2.5,20.48,3.51,0.99,24.98,1.13,3.2,1275650,300,1275350,33.47,0.43,33.04,Klaus Treutner
1982-01-27T09:15,3,32.705,2.5,20.77,3.27,0.93,24.97,0.81,3.1,1001520,1075,1000450,33,0.45,32.55,Klaus Treutner
1982-01-28T09:00,2.7,31.965,1.4,30.68,2.95,2.84,36.47,1.09,4.8,1126850,1450,1125400,35.9,0.86,35.04,Klaus Treutner
1982-01-29T08:55,2.9,32.436,1,25.8,2.8,1.49,30.09,0.99,3.8,1052400,1850,1050550,30.62,0.81,29.81,Klaus Treutner
1982-02-01T09:00,2.3,30.667,1.1,30.4,1.87,4.03,36.3,1.26,7.4,1000700,400,1000300,32.82,0.29,32.53,Klaus Treutner
1982-02-02T08:45,2,30.611,1.1,38.35,1.87,4.68,44.9,1.14,2.8,1200950,650,1200300,34.4,0.37,34.03,Klaus Treutner
1982-02-03T09:20,1.9,31.82,1.8,25.5,2.16,2.23,29.89,1.02,3,1101050,250,1100800,33.41,0.08,33.33,Klaus Treutner
1982-02-04T08:50,1.8,32.099,1.8,25.83,2.22,2.31,30.36,0.91,3,926700,1000,925700,27.79,0.47,27.32,Klaus Treutner
1982-02-05T09:00,2.2,32.385,2.5,24.48,2.74,1.96,29.18,1,3.7,1151800,1200,1150600,30.8,0.24,30.56,Klaus Treutner
1982-02-08T09:20,2.6,32.508,3,25.08,2.52,2.29,29.89,0.85,3.5,877075,1875,875200,24.46,0.69,23.77,Klaus Treutner
1982-02-09T08:55,2.5,32.452,3,25.35,2.39,2.35,30.09,0.94,3.7,726350,1200,725150,19.88,0.36,19.52,Klaus Treutner
1982-02-10T09:05,2.6,32.454,3.2,27.25,2.14,2.32,31.71,0.88,4,625550,150,625400,19.11,0.32,18.79,Klaus Treutner
1982-02-11T08:40,2.6,32.453,3,30.17,1.97,2.65,34.79,0.94,4,750475,175,750300,21.5,0.22,21.28,Klaus Treutner
1982-02-12T09:00,2.6,32.256,3,23.67,1.95,2.18,27.8,1.04,4,826675,1375,825300,27.67,1.14,26.53,Klaus Treutner
1982-02-15T09:05,2.7,32.289,3.5,21.15,1.69,3.3,26.14,1.08,4.1,700875,875,700000,24.26,0.26,24,Klaus Treutner
1982-02-16T08:30,2.4,32.018,3.3,29.35,1.42,3.37,34.14,0.98,4,1100280,75,1100200,33.42,0.15,33.27,Klaus Treutner
1982-02-17T09:00,2.2,31.392,2.2,31.58,1.49,4.62,37.69,1.2,3.8,675900,150,675750,22.5,0.17,22.33,Klaus Treutner
1982-02-18T08:00,2,31.541,1.5,38.38,1.39,4.34,44.11,1.11,4.1,929750,4200,925550,34.3,0.75,33.56,Klaus Treutner
1982-02-19T08:40,2.1,32.249,3.5,30.28,1.49,3.67,35.44,1.08,4.3,1026050,750,1025300,28.3,0.27,28.03,Klaus Treutner
1982-02-22T08:45,2.1,32.286,4,27.04,1.29,4.46,32.79,1,3.7,900400,100,900300,25.73,0.2,25.53,Klaus Treutner
1982-02-23T08:45,2,32.283,4.5,24.6,1.27,3.63,29.5,1.03,3.9,900475,75,900400,25.69,0.15,25.54,Klaus Treutner
1982-02-24T09:30,2.1,32.255,6,25.2,1.2,3.36,29.76,0.92,4,825300,0,825300,26.53,0,26.53,Klaus Treutner
1982-02-25T09:00,2.1,32.279,4.5,18.28,1.19,3.12,22.59,1,4.4,1075580,175,1075400,31.87,0.33,31.54,Klaus Treutner
1982-02-26T08:45,2.6,32.22,4.5,25.3,1.23,3.49,30.02,0.97,4.5,1225780,475,1225300,35.92,0.14,35.78,Klaus Treutner
1982-03-01T08:45,2.6,32.47,4.5,28.85,1.23,3.37,33.45,1.48,4.1,1200830,75,1200750,34.23,0.15,34.08,Klaus Treutner
1982-03-02T08:50,2.6,32.442,3.6,25.15,1.2,3.24,29.59,1.42,4,901075,475,900600,25.83,0.27,25.56,Klaus Treutner
1982-03-03T08:50,2.7,32.377,2.9,26.95,1.22,3.29,31.46,1.3,3.7,1051580,1175,1050400,30.31,0.52,29.79,Klaus Treutner
1982-03-04T08:20,2.8,32.613,1.7,23.16,1.26,4.26,28.68,1.27,3.2,1300930,725,1300200,41.77,0.75,41.02,Klaus Treutner
1982-03-05T08:50,2.5,31.995,1.3,22.07,1.27,4.93,28.27,1.3,5.1,752425,2125,750300,22.37,1.09,21.28,Klaus Treutner
1982-03-08T08:45,2.5,32,3,25.51,1.12,5.9,32.53,1.07,5.3,926550,350,926200,27.88,0.51,27.37,Klaus Treutner
1982-03-09T08:50,2.7,32.353,4,28.04,1.04,3.65,32.73,1.01,4.6,901700,600,901100,19.54,0.18,19.36,Klaus Treutner
1982-03-10T09:00,2.7,32.482,4,21.84,1.03,3.4,26.27,0.81,3.7,927600,1200,926400,27.58,0.19,27.39,Klaus Treutner
1982-03-11T09:00,3,32.589,2.8,22.49,0.95,2.87,26.31,0.98,3.7,878600,2100,876500,24.24,0.34,23.9,Klaus Treutner
1982-03-12T09:05,3,32.592,2.5,21.14,0.91,3.3,25.35,0.98,3.6,1051750,800,1050950,30.34,0.5,29.85,Klaus Treutner
1982-03-15T08:40,3,32.455,2.5,25.62,0.92,3.67,30.21,1.01,3.8,752075,1225,750850,21.83,0.5,21.34,Klaus Treutner
1982-03-16T08:50,3.2,32.349,2.7,21.35,0.85,3.49,25.69,1.03,4.1,626000,100,625900,18.87,0.03,18.84,Klaus Treutner
1982-03-17T09:20,3.3,32.558,6,19.9,0.95,3.54,24.39,0.98,3.7,851250,100,851150,22.15,0.03,22.12,Klaus Treutner
1982-03-18T09:00,3.3,32.492,6,23.69,0.86,3.63,28.18,0.84,3.7,976675,225,976450,24.97,0.32,24.65,Klaus Treutner
1982-03-19T09:00,3.1,32.406,5.5,21.5,0.87,3.33,25.7,0.96,3.8,627450,100,627350,19.02,0.03,18.99,Klaus Treutner
1982-03-22T08:35,3.4,32.378,5.7,24.96,0.86,3.84,29.66,0.93,4,728350,350,728000,20.08,0.28,19.8,Klaus Treutner
1982-03-23T09:00,3.6,32.335,6.5,22.14,0.87,4.32,27.33,1.02,3.8,728350,1150,727200,20.47,0.75,19.72,Klaus Treutner
1982-03-24T09:00,3,32.223,5.5,21.56,0.85,3.89,26.3,0.92,3.8,703400,1550,701850,18.98,0.9,18.08,Klaus Treutner
1982-03-25T09:50,3,32.247,5.3,17.57,0.87,3.93,22.37,1.04,4,651150,300,650850,20.93,0.35,20.59,Klaus Treutner
1982-03-26T09:10,3.7,32.134,5.5,22.26,0.87,3.94,27.07,1.13,4.1,576250,200,576050,15.42,0.06,15.36,Klaus Treutner
1982-03-29T08:50,3.7,31.675,4.8,25.27,0.94,5.83,32.04,1,4.8,879775,3725,876050,24.09,0.23,23.86,Klaus Treutner
1982-03-30T08:50,3.9,31.388,3.9,26.3,0.96,5.27,32.53,1.18,4.1,995100,44750,950350,37.81,8.77,29.04,Klaus Treutner
1982-03-31T09:15,4.1,30.287,2.6,28.73,1.07,6.5,36.3,1.47,7.4,1223750,148550,1075200,51.64,26.37,25.27,Klaus Treutner
1982-04-01T07:40,4.4,28.751,2.4,32,1.22,12.31,45.53,1.63,9.8,1262500,211600,1050900,50.4,20.56,29.84,Klaus Treutner
1982-04-02T07:45,4.6,29.892,2.8,35.68,1.15,9.49,46.32,1.4,7.4,1128750,252800,875950,67.19,43.34,23.85,Klaus Treutner
1982-04-05T07:30,4.4,30.255,3.5,33.1,1.04,7.35,41.49,1,6.5,898900,438700,460200,84.33,70.48,13.85,Klaus Treutner
1982-04-06T07:20,4.6,30.466,3,32.1,1.03,4.35,37.48,0.96,5.3,1107180,502675,604500,106.35,88.9,17.45,Klaus Treutner
1982-04-07T07:50,4.5,31.599,3.2,21.17,0.97,2.81,24.95,0.78,3.3,1215250,735750,479500,125.23,110.28,14.95,Klaus Treutner
1982-04-08T07:30,4.2,31.894,2.1,20.67,0.81,1.77,23.25,0.89,2.1,1154950,529500,625450,105.4,86.5,18.9,Klaus Treutner
1982-04-13T07:30,4.6,30.197,1.1,38.63,0.81,2.44,41.88,0.98,3,1313650,563150,750500,131.29,109.8,21.49,Klaus Treutner
1982-04-14T07:30,5.3,28.687,2,38.78,1.19,4.65,44.62,0.92,3.3,1521230,745275,775950,135.78,112.25,23.54,Klaus Treutner
1982-04-15T07:05,5.9,27.084,1.9,28.19,1.71,5.76,35.66,0.76,5,1574120,817975,756140,213.96,185.6,28.36,Klaus Treutner
1982-04-16T07:10,6.1,27.433,2.1,32.19,1.58,3.2,36.97,0.7,3.4,1679900,844200,835700,191.25,162.5,28.75,Klaus Treutner
1982-04-19T07:25,6.1,28.464,2.1,31.4,1.36,1.4,34.16,0.87,3.5,1489150,1038280,450875,234.58,220.35,14.23,Klaus Treutner
1982-04-20T07:25,6.1,28.995,2.1,42.34,1.23,2.44,46.01,0.23,3.6,1678990,1052600,626390,228.8,209.03,19.78,Klaus Treutner
1982-04-21T07:45,6.7,27.882,1.9,31.78,1.48,2.15,35.41,0.23,2.8,1789680,1288030,501650,306.9,282.3,24.6,Klaus Treutner
1982-04-22T07:35,7.5,26.684,2.1,35.56,1.74,2.08,39.38,0.17,3.7,1789950,1287800,502150,296.71,270.55,26.16,Klaus Treutner
1982-04-23T07:45,7.8,25.926,1.8,36.64,1.98,2.11,40.73,0.26,3.5,1839550,1287600,551950,298.13,269.75,28.38,Klaus Treutner
1982-04-26T07:40,6.1,29.244,2.2,31.68,1.12,2.08,34.88,0.23,3.5,1113200,512900,600300,126.35,108.25,18.1,Klaus Treutner
1982-04-27T08:10,5.8,30.266,3,23.41,0.86,2.81,27.08,0.3,2,1026480,275150,751325,84.9,62.8,22.1,Klaus Treutner
1982-04-28T07:45,6.4,28.825,3.2,32.96,1.14,2.54,36.64,0.17,2.1,778500,277375,501125,80.92,63.45,17.47,Klaus Treutner
1982-04-29T08:00,6.9,28.919,3.7,32.49,1.18,2.56,36.23,0.13,1.9,1109530,206675,902850,70.79,42.85,27.94,Klaus Treutner
1982-04-30T08:00,5.9,30.183,1.8,28.89,0.9,3.18,32.97,0.45,1.9,868325,67850,800475,44.79,18.32,26.47,Klaus Treutner
1982-05-03T07:45,6.5,28.962,3.7,31.29,0.94,3.24,35.47,0.23,1.1,1409920,1275,1408640,65.14,1.33,63.81,Klaus Treutner
1982-05-04T08:10,6.8,29.136,2,31.77,0.87,3.34,35.98,0.23,0.9,406925,25325,381600,41.38,2.6,38.78,Klaus Treutner
1982-05-06T07:15,6.8,29.745,4,29.14,0.85,3.2,33.19,0.37,0.2,1222650,100,1222550,48.58,0.15,48.43,Klaus Treutner
1982-05-07T11:55,7.3,29.364,3,28.41,0.77,3.3,32.48,0.4,0.3,1181630,0,1181630,68.75,0,68.75,Klaus Treutner
1982-05-10T10:15,7.4,30.098,4.3,26.9,0.71,4.07,31.68,0.43,0.3,1013050,0,1013050,50.7,0,50.7,Klaus Treutner
1982-05-11T07:00,7,30.456,6,25.46,0.73,3.53,29.72,0.31,0.2,1505900,0,1505900,70,0,70,Klaus Treutner
1982-05-12T07:45,7,29.597,4.5,29.56,0.71,3.02,33.29,0.26,0.6,1140650,0,1140650,47.7,0,47.7,Klaus Treutner
1982-05-13T07:20,7.6,29.233,4.9,28.74,0.87,3.27,32.88,0.51,0.8,1130830,0,1130830,43.75,0,43.75,Klaus Treutner
1982-05-14T07:40,8.5,26.986,3.2,42.44,0.84,2.48,45.76,0.6,0.3,1081180,2250,1078930,61.58,6.45,55.13,Klaus Treutner
1982-05-17T07:50,9.3,28.139,4,30.68,0.8,3.49,34.97,0.45,0.7,1526100,14100,1512000,69.87,7.47,62.4,Klaus Treutner
1982-05-19T05:40,9.4,27.912,4.5,29.16,0.8,1.63,31.59,0.51,0.7,1092890,80200,1012690,46.01,9.45,36.56,Klaus Treutner
1982-05-21T07:10,9,28.582,5,32.67,0.73,2.35,35.75,0.36,0.6,1516240,103650,1412590,63.39,2.68,60.71,Klaus Treutner
1982-05-24T07:10,8.5,30.709,6.1,17.37,0.58,2.99,20.94,0.26,0.7,1047340,0,1047340,50.86,0,50.86,Klaus Treutner
1982-05-25T07:35,8.8,31.351,5.1,17.47,0.55,4.56,22.58,0.19,0.6,1267500,0,1267500,53.55,0,53.55,Klaus Treutner
1982-05-26T07:50,9.1,31.098,5.2,19.98,0.58,3.46,24.02,0.26,0.8,1022880,6000,1016870,36.31,0.06,36.25,Klaus Treutner
1982-05-27T07:00,9.4,30.812,5.8,20.93,0.51,3.92,25.36,0.28,0.7,1201300,10000,1191300,43.05,0.1,42.95,Klaus Treutner
1982-05-28T07:40,9.5,31.107,4.5,17.06,0.56,3.51,21.13,0.22,0.9,1083050,5100,1077950,35.47,0.39,35.08,Klaus Treutner
1982-06-01T07:20,11.2,30.209,5.4,17.03,0.57,3.24,20.84,0.29,1.1,1517900,53000,1464900,50.35,1.1,49.25,Klaus Treutner
1982-06-02T07:50,11.5,30.574,5.4,21.42,0.56,3.47,25.45,0.25,0.9,1028030,95275,932750,34.23,6.03,28.2,Klaus Treutner
1982-06-03T07:20,12,29.629,5.1,24.05,0.54,6.04,30.63,0.21,1.1,1370830,182600,1188230,60.9,26.65,34.25,Klaus Treutner
1982-06-04T08:00,11.6,30.352,5.4,25.41,0.53,3.21,29.15,0.27,1,1330720,304000,1026720,54.54,17.03,37.51,Klaus Treutner
1982-06-07T07:45,12.1,30.63,4.8,25.36,0.54,4.08,29.98,0.32,1,1069330,141400,927925,49.2,13.85,35.35,Klaus Treutner
1982-06-08T07:45,12.5,30.272,4.5,21.63,0.56,4.09,26.28,0.36,0.9,1211980,208800,1003170,74.75,34.18,40.58,Klaus Treutner
1982-06-09T07:30,12.2,29.874,3.8,20.84,0.56,2.81,24.21,0.38,0.8,1511870,42250,1469620,69.11,9.53,59.59,Klaus Treutner
