Date,Temp,Sal,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1965-01-04T10:30,5.6,33.353,9.28,0.83,10.9,21.01,0.59,190400,1120,189280,9.24,0.54,8.7,Erik Hagmeier
1965-01-05T09:00,5.8,33.599,,,,,,,,,,,,
1965-01-06T10:45,6,33.634,6,0.54,10.1,16.64,0.65,237280,1160,236120,10.65,0.7,9.95,Erik Hagmeier
1965-01-07T09:00,5.9,33.57,,,,,,,,,,,,
1965-01-08T10:35,6.1,33.641,6.57,0.53,10.6,17.7,0.53,150080,880,149200,6.44,0.26,6.18,Erik Hagmeier
1965-01-11T10:30,5.8,33.5,7,0.63,7.9,15.53,0.69,,,,,,,
1965-01-12T09:00,5.8,33.646,,,,,,,,,,,,
1965-01-13T10:25,5.7,33.63,7.07,0.56,9,16.63,0.61,123720,560,123160,5.56,0.44,5.12,Erik Hagmeier
1965-01-15T10:10,5.8,33.769,5.43,0.18,10.6,16.21,0.84,88760,4560,84200,5.29,2.5,2.79,Erik Hagmeier
1965-01-18T09:00,5.4,33.595,,,,,,,,,,,,
1965-01-19T10:40,5.3,33.738,5.86,1.19,7.6,14.65,0.69,122040,2760,119280,5.99,1.03,4.96,Erik Hagmeier
1965-01-20T09:00,5.3,33.563,,,,,,,,,,,,
1965-01-21T09:00,5.1,33.622,,,,,,,,,,,,
1965-01-22T10:15,5,33.627,5.07,0.66,14.3,20.03,,,,,,,,
1965-01-27T10:10,3.8,31.551,6.3,1.23,11.9,35.39,0.89,170000,1880,168120,7.13,0.7,6.43,Erik Hagmeier
1965-01-29T08:50,4.3,33.085,7.5,1.81,9.9,19.21,0.72,139960,1920,138040,5.9,0.58,5.32,Erik Hagmeier
1965-02-01T10:15,4.3,33.085,10.78,1.78,7,19.56,0.87,111120,1000,110120,4.51,0.3,4.21,Erik Hagmeier
1965-02-02T09:00,3.9,32.238,,,,,,,,,,,,
1965-02-03T10:30,4.2,32.878,11.28,1.55,9.4,22.23,,,,,,,,
1965-02-04T09:00,4.4,33.056,,,,,,,,,,,,
1965-02-09T08:45,3.7,32.451,16.71,2.22,8.6,27.53,0.88,148560,440,148120,5.78,1.12,4.66,Erik Hagmeier
1965-02-10T09:00,4,32.458,,,,,,,,,,,,
1965-02-11T10:10,4.2,32.784,10.93,2.14,10.8,23.87,0.8,464520,64520,400000,21.64,7.54,14.1,Erik Hagmeier
