Date,Temp,Sal,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1965-02-12T09:00,4.1,32.75,,,,,,,,,,,,
1965-02-15T08:45,3.5,31.58,22.21,1.38,13.4,36.99,0.96,1358000,4000,1354000,57.14,1.71,55.43,Erik Hagmeier
1965-02-16T09:00,3.1,30.605,,,,,,,,,,,,
1965-02-17T10:25,3,30.504,30.43,2.36,12.9,45.69,1.28,,,,,,,
1965-02-18T09:00,2.7,29.811,,,,,,,,,,,,
1965-02-19T09:55,3,31,20.07,2.48,14,36.55,1.02,1268100,500,1267600,51.21,0.15,51.06,Erik Hagmeier
1965-02-22T10:00,3,31.2,22,2.21,11.9,36.11,0.81,294480,480,294000,11.66,0.28,11.38,Erik Hagmeier
1965-02-24T10:35,2.5,30.2,20.57,2.09,14.1,36.76,0.89,184920,920,184000,6.61,0.48,6.13,Erik Hagmeier
1965-02-25T09:00,2.6,30.6,,,,,,,,,,,,
1965-02-26T10:15,2.6,30.8,21.5,1.72,10.1,33.32,0.92,571400,400,571000,23.64,0.12,23.52,Erik Hagmeier
1965-03-02T09:55,2.1,31.3,20.78,1.83,11.6,34.21,,,,,,,,
1965-03-03T09:00,2,31,,,,,,,,,,,,
1965-03-04T10:10,2.1,31,22.07,1.73,11,34.8,0.95,242040,800,241240,11.8,0.24,11.56,Erik Hagmeier
1965-03-05T09:00,2.4,31.8,,,,,,,,,,,,
1965-03-08T09:40,2.3,31.6,15.86,1.29,8.7,25.85,1.13,206480,480,206000,9.59,0.5,9.09,Erik Hagmeier
1965-03-09T09:00,2.8,32.1,,,,,,,,,,,,
1965-03-10T09:45,2.9,32,14.78,1.44,9.1,25.32,0.7,,,,,,,
1965-03-11T09:00,2,30.6,,,,,,,,,,,,
1965-03-12T09:55,2.1,30.7,31.5,1.2,9.4,42.1,0.86,165520,520,165000,8.5,0.35,8.15,Erik Hagmeier
1965-03-15T10:10,2.8,30.9,27.07,1.99,15,44.06,,,,,,,,
1965-03-16T09:00,3,31.2,,,,,,,,,,,,
1965-03-17T10:10,3.4,31.9,20.36,1.93,11.3,33.59,0.78,304240,80,304160,12.6,0.05,12.55,Erik Hagmeier
1965-03-18T09:00,3.2,31.2,,,,,,,,,,,,
1965-03-19T10:05,3.5,31.7,25,1.93,11.7,38.63,0.68,491960,480,491480,20.16,0.14,20.02,Erik Hagmeier
1965-03-22T10:05,3.7,31.5,27.71,1.95,12.6,42.26,0.74,214040,360,213680,9.12,0.72,8.4,Erik Hagmeier
1965-03-24T14:25,3.7,31.7,,,,,,,,,,,,
1965-03-25T10:00,3.6,31,31.57,1.97,11.9,45.44,0.8,453680,1360,452320,16.78,0.99,15.79,Erik Hagmeier
1965-03-26T09:45,3.6,30.5,,,,,,,,,,,,
1965-03-29T10:15,4,30.3,33.64,2.01,7.5,43.15,0.91,171000,0,171000,4.72,0,4.72,Erik Hagmeier
1965-03-30T10:00,4.2,31.2,,,,,,,,,,,,
1965-03-31T10:05,4.1,31.2,21.21,2.02,11.7,34.93,0.73,203960,720,203240,9.38,1.17,8.21,Erik Hagmeier
1965-04-01T10:00,4.8,30.5,,,,,,,,,,,,
1965-04-02T09:10,4.6,30.9,29.36,1.8,11.9,43.06,0.82,588700,700,588000,27.31,0.42,26.89,Erik Hagmeier
1965-04-05T17:00,,,,,,,,526360,200,526160,19.12,0.72,18.4,Erik Hagmeier
1965-04-06T08:00,4.8,30.7,,,,,,893300,0,893300,31.73,0,31.73,Erik Hagmeier
1965-04-07T09:00,4.8,28.6,,,,,,1010300,300,1010000,36.12,0.36,35.76,Erik Hagmeier
1965-04-08T09:30,4.7,29.5,,,,,,,,,,,,
1965-04-09T10:00,4.5,30.4,,,,,,,,,,,,
1965-04-12T10:00,5.1,31.4,,,,,,,,,,,,
1965-04-13T10:10,5.3,31.4,,,,,,,,,,,,
1965-04-14T09:55,5.1,32.9,,,,,,,,,,,,
1965-04-15T09:05,5,32.5,,,,,,,,,,,,
1965-04-20T10:05,5.2,32.6,,,,,,,,,,,,
1965-04-21T10:15,5.6,32.1,,,,,,,,,,,,
1965-04-22T10:10,6.2,31.3,,,,,,,,,,,,
1965-04-23T10:00,6.6,30.1,,,,,,,,,,,,
1965-04-26T08:40,6.8,29.6,,,,,,,,,,,,
1965-04-27T10:00,6.3,30.4,,,,,,,,,,,,
1965-04-28T10:25,6.5,30.6,,,,,,,,,,,,
1965-04-29T10:00,6.2,31.9,,,,,,,,,,,,
1965-04-30T10:50,6.5,31.8,,,,,,,,,,,,
1965-05-03T09:50,6.9,31.8,,,,,,,,,,,,
1965-05-04T09:30,6.7,32.7,,,,,,,,,,,,
1965-05-05T09:50,6.9,32.7,,,,,,1342880,33840,1309040,19.19,5.3,13.89,Erik Hagmeier
1965-05-06T09:00,,,,,,,,3480,3360,120,3.22,1.18,2.04,Erik Hagmeier
1965-05-07T10:30,7.3,32.8,,,,,,87120,86300,820,8.69,7.37,1.32,Erik Hagmeier
1965-05-10T10:00,7,32.6,,,,,,,,,,,,
1965-05-11T10:10,7.6,30.8,,,,,,,,,,,,
1965-05-12T09:50,7.9,30.8,,,,,,,,,,,,
1965-05-13T09:45,8.6,30.6,,,,,,,,,,,,
1965-05-14T09:40,9.3,29.1,,,,,,,,,,,,
1965-05-17T09:45,9.3,29.8,,,,,,,,,,,,
1965-05-19T08:30,8.7,30,,,,,,,,,,,,
1965-05-20T10:30,9.3,29.8,,,,,,,,,,,,
1965-05-21T09:30,9.2,30,,,,,,,,,,,,
1965-05-24T09:05,9.1,31.1,,,,,,,,,,,,
1965-05-25T09:40,9.2,31.8,,,,,,,,,,,,
1965-05-26T09:05,10.7,27.9,,,,,,,,,,,,
1965-05-28T09:00,9.5,31.4,,,,,,,,,,,,
1965-05-31T09:10,11.1,29.4,,,,,,,,,,,,
1965-06-01T09:10,10.2,30.9,,,,,,,,,,,,
1965-06-02T09:30,10.4,31.1,,,,,,,,,,,,
1965-06-03T09:15,9.8,30.9,,,,,,,,,,,,
1965-06-04T09:40,10.2,30.4,,,,,,1530,950,580,1.04,0.22,0.82,Erik Hagmeier
1965-06-08T09:35,11.2,30.2,,,,,,300,80,220,0.85,0.26,0.59,Erik Hagmeier
1965-06-09T10:10,11.2,30.4,,,,,,36640,23400,13240,6.6,4.95,1.65,Erik Hagmeier
1965-06-10T10:00,12.2,29.7,,,,,,,,,,,,
1965-06-11T10:05,12.6,29.2,,,,,,39160,17960,21200,7.73,3.2,4.53,Erik Hagmeier
1965-06-14T09:15,12.1,29.976,,,,,,38920,37720,1200,9.8,7.11,2.69,Erik Hagmeier
1965-06-16T08:50,12.6,30.377,,,,,,67480,47400,20080,15.56,14.28,1.28,Erik Hagmeier
1965-06-18T09:55,11.6,30.065,,,,,,23960,6520,17440,4.1,3.32,0.78,Erik Hagmeier
1965-06-21T09:55,12.7,30.928,,,,,,19480,240,19240,3.62,0.36,3.26,Erik Hagmeier
1965-06-23T09:00,,,,,,,,25400,6880,18520,14.29,8.05,6.24,Erik Hagmeier
1965-06-25T10:15,12.7,31.515,,,,,,46400,43240,3160,28.96,26.06,2.9,Erik Hagmeier
1965-06-28T10:00,13.3,31.796,,,,,,20640,11720,8920,27.97,12.48,15.49,Erik Hagmeier
1965-06-30T09:00,,,,,,,,100680,95040,5640,37.59,28.03,9.56,Erik Hagmeier
1965-07-02T09:15,14.6,29.5,14.14,0.46,11.8,26.4,0.12,57800,52800,5000,52.39,34,18.39,Erik Hagmeier
1965-07-06T10:00,13.6,30.584,8.93,0.41,11.2,20.54,0.04,,,,,,,
1965-07-07T09:00,,,,,,,,39720,39120,600,83.5,82.46,1.04,Erik Hagmeier
1965-07-08T09:00,,,,,,,,65560,43560,22000,16.53,12.73,3.8,Erik Hagmeier
1965-07-09T10:05,14.3,29.866,11.28,0.46,11.9,23.64,0.28,,,,,,,
1965-07-12T10:15,14.8,29.38,11.36,0.48,12.3,24.14,0.48,28320,27200,1120,41.24,37.75,3.49,Erik Hagmeier
1965-07-14T09:15,15.4,29.478,9.5,0.44,11.3,21.24,0.28,,,,,,,
1965-07-16T10:25,15.2,29.977,11,0.47,11.6,23.07,0.29,,,,,,,
1965-07-19T09:25,15.7,28.32,12.78,0.49,11.5,24.77,0.43,,,,,,,
1965-07-21T10:10,16.2,28.932,9.64,0.51,12.6,22.75,0.46,,,,,,,
1965-07-23T09:50,16,28.807,15.5,0.57,12.9,28.97,0.49,,,,,,,
1965-07-26T10:20,14.6,31.047,9,0.43,11.1,20.53,0.33,,,,,,,
1965-07-28T09:55,14.7,30.794,8.93,0.48,9.4,18.81,0.48,,,,,,,
1965-07-30T09:30,14.9,30.676,8.43,0.51,10.6,19.54,0.6,,,,,,,
1965-08-02T10:05,15.2,30.707,8.21,0.5,11.8,20.51,0.78,,,,,,,
1965-08-03T10:30,15.7,30.51,,,,,,,,,,,,
1965-08-04T10:05,15.4,30.83,8.07,0.48,10.4,18.95,0.4,,,,,,,
1965-08-09T10:10,15.7,30.837,,,,,,,,,,,,
1965-08-11T10:15,16,30.021,10.21,0.47,10.8,21.48,0.38,,,,,,,
1965-08-12T09:45,16.1,28.811,,,,,,441120,367140,73980,374.12,86.68,287.44,Erik Hagmeier
1965-08-13T09:40,16.4,28.78,15.78,0.66,7.7,24.14,0.32,918120,761940,156180,434.41,107.02,327.38,Erik Hagmeier
1965-08-16T09:20,17.1,29.101,8.93,0.71,0.7,10.34,0.21,869760,859960,9800,196.99,158.39,38.6,Erik Hagmeier
1965-08-18T10:00,16.9,29.839,5.71,0.63,8,14.34,0.32,,,,,,,
1965-08-20T09:30,16.8,29.603,5.71,0.6,8.4,14.71,0.2,,,,,,,
1965-08-23T09:50,16.6,30.482,5.64,0.51,7,13.15,0.26,42220,13600,28620,117.38,12.66,104.72,Erik Hagmeier
1965-08-24T09:55,16.4,29.688,,,,,,,,,,,,
1965-08-25T10:00,16.4,31.123,4.64,0.35,8.6,13.59,0.19,84680,35280,49400,154.36,14.8,139.56,Erik Hagmeier
1965-08-26T10:00,16,31.72,,,,,,,,,,,,
1965-08-27T10:15,16.1,31.508,2.71,0.37,8,11.08,0.42,75160,17440,57720,56.92,5.42,51.5,Erik Hagmeier
1965-08-30T10:15,15.8,31.5,3.93,0.48,9.5,13.91,0.48,69600,24960,44640,28.98,9.2,19.78,Erik Hagmeier
1965-08-31T10:00,15.8,31.424,,,,,,,,,,,,
1965-09-01T09:30,15.7,31.328,4.43,0.51,9.5,14.44,0.48,2112000,2046080,65920,269.88,215.74,54.14,Erik Hagmeier
1965-09-02T09:30,15.8,31.49,,,,,,,,,,,,
1965-09-03T09:45,15.8,31.186,5.43,0.49,9,14.92,0.53,43000,30200,12800,78.87,27.75,51.12,Erik Hagmeier
1965-09-06T09:50,15.7,31.986,2.93,0.36,9.4,12.69,0.26,19400,18040,1360,12.14,6.58,5.56,Erik Hagmeier
1965-09-07T09:55,15.5,32.159,,,,,,,,,,,,
1965-09-08T09:35,15.5,31.607,2.71,0.38,9.5,12.59,0.22,153360,73160,80200,43.88,41.48,2.4,Erik Hagmeier
1965-09-09T09:40,15.4,32.06,,,,,,,,,,,,
1965-09-10T09:30,15.4,32.173,2.28,0.31,10.2,12.79,0.44,66680,33440,33240,20.97,19.07,1.9,Erik Hagmeier
1965-09-13T09:45,15.2,32.13,2.57,0.3,9.7,12.57,0.4,71600,49320,22280,24.28,19.6,4.68,Erik Hagmeier
1965-09-14T09:00,15.4,32.201,,,,,,,,,,,,
1965-09-15T09:40,15.3,32.216,2.28,0.33,9.5,12.11,0.34,195360,73120,122240,37.34,28.08,9.26,Erik Hagmeier
1965-09-16T09:00,15.6,32.153,,,,,,,,,,,,
1965-09-20T09:50,15,31.353,4.71,0.48,9.2,14.39,0.45,209640,170920,38720,128.94,125.16,3.78,Erik Hagmeier
1965-09-21T09:00,15.1,31.612,,,,,,,,,,,,
1965-09-22T09:50,15,31.936,2.64,0.32,8.5,11.46,0.33,248920,230640,18280,73.58,71.86,1.72,Erik Hagmeier
1965-09-23T09:00,15.2,31.917,,,,,,,,,,,,
1965-09-24T09:50,15.4,31.995,2.14,0.28,8.5,10.92,0.3,403040,354560,48480,82.65,76.99,5.66,Erik Hagmeier
1965-09-27T10:05,15.4,32.262,3.71,0.24,7.7,11.65,0.3,105000,89200,15800,22.51,19.17,3.34,Erik Hagmeier
1965-09-28T09:00,15.3,32.399,,,,,,,,,,,,
1965-09-29T09:50,15,32.184,1.43,0.23,8.5,10.16,0.39,95920,81840,14080,22.91,13.17,9.74,Erik Hagmeier
1965-09-30T09:00,15.1,32.051,,,,,,,,,,,,
1965-10-01T09:50,15.1,32.208,1.21,0.23,8.6,10.04,,143720,128160,15560,20.54,18.02,2.52,Erik Hagmeier
1965-10-04T09:45,15,32.421,1.14,0.23,8.5,9.87,0.37,109400,35720,73680,14.72,11.84,2.88,Erik Hagmeier
1965-10-05T09:00,15.1,32.401,,,,,,,,,,,,
1965-10-06T08:45,14.9,32.557,1.21,0.21,8.5,9.92,0.34,46440,24160,22280,8.86,7.15,1.7,Erik Hagmeier
1965-10-07T09:00,14.9,32.69,,,,,,,,,,,,
1965-10-08T09:55,14.8,32.772,0.93,0.16,5.4,6.49,0.32,118080,57760,60320,20.84,18.3,2.54,Erik Hagmeier
1965-10-11T09:00,14.6,32.448,2.07,0.21,7.4,9.68,0.13,152720,147520,5200,44.92,44.7,0.22,Erik Hagmeier
1965-10-12T09:00,14.6,32.57,,,,,,,,,,,,
1965-10-13T10:00,14.7,32.507,3.5,0.19,9.5,13.19,0.24,177320,165200,12120,53.41,52.69,0.72,Erik Hagmeier
1965-10-14T09:00,14.6,32.747,,,,,,,,,,,,
1965-10-15T10:45,14.4,32.769,3,0.21,9.4,12.61,0.42,86120,83040,3080,25.4,25.02,0.38,Erik Hagmeier
1965-10-18T10:00,14,32.497,6.07,0.27,9.4,15.74,0.51,161840,143400,18440,42.74,41.3,1.44,Erik Hagmeier
1965-10-19T09:00,13.6,30.973,,,,,,,,,,,,
1965-10-20T09:00,13.1,30.66,10.78,0.49,7.3,18.57,0.55,328560,315360,13200,96.53,94.03,2.5,Erik Hagmeier
1965-10-21T09:00,13,31.586,,,,,,,,,,,,
1965-10-22T08:50,13.7,32.606,3.14,0.24,8.4,11.78,0.39,355320,344160,11160,101.28,100.46,0.82,Erik Hagmeier
1965-10-25T09:10,13.1,32.593,4.36,0.3,9.4,14.06,0.48,309000,295000,14000,87.73,87.45,0.28,Erik Hagmeier
1965-10-26T09:00,13.1,32.93,,,,,,,,,,,,
1965-10-27T09:55,13,33.15,2.57,0.23,7.1,9.9,0.34,271160,269080,2080,79.67,79.07,0.6,Erik Hagmeier
1965-10-28T09:00,13.3,33.388,,,,,,,,,,,,
1965-10-29T09:35,13.2,33.422,2.21,0.21,5.6,8.02,0.42,120160,112120,8040,33.78,32.88,0.9,Erik Hagmeier
1965-11-01T09:45,12.5,32.175,9.07,0.18,10.4,19.65,0.78,66160,16120,50040,3.22,1.26,1.96,Erik Hagmeier
1965-11-03T08:30,11.3,31.675,7.07,0.3,7.8,15.17,0.89,30200,22200,8000,4.47,4.31,0.16,Erik Hagmeier
1965-11-04T09:00,10.7,31.559,,,,,,,,,,,,
1965-11-05T09:15,10.8,31.549,5.14,0.53,9.6,15.27,0.81,29280,18280,11000,2.38,1.2,1.18,Erik Hagmeier
1965-11-08T09:55,10.9,31.394,6.57,0.56,8.9,16.03,0.84,32280,18160,14120,1.94,1.22,0.72,Erik Hagmeier
1965-11-09T09:00,11.3,31.818,,,,,,,,,,,,
1965-11-10T09:50,11.4,32.112,4.86,0.43,9.9,15.19,0.84,261920,260760,1160,27.07,26.5,0.57,Erik Hagmeier
1965-11-11T09:00,11.4,32.342,,,,,,,,,,,,
1965-11-12T10:30,10.6,32.341,5.43,0.43,9.8,15.66,0.61,18240,11240,7000,1.09,0.79,0.3,Erik Hagmeier
1965-11-15T09:50,9.3,32.444,5.36,0.46,8.1,13.92,0.81,15000,11000,4000,0.93,0.85,0.08,Erik Hagmeier
1965-11-16T09:00,8.5,31.414,,,,,,,,,,,,
1965-11-19T10:00,8.9,33.442,3,0.28,7.4,10.68,0.64,24080,6040,18040,1.98,1.3,0.68,Erik Hagmeier
1965-11-22T10:15,7.8,33.366,4.78,0.44,9.6,14.82,0.72,7480,480,7000,0.78,0.32,0.46,Erik Hagmeier
1965-11-23T09:00,8.2,33.513,,,,,,,,,,,,
1965-11-24T09:50,8,33.931,2.86,0.34,9.7,12.9,0.4,13160,4080,9080,1.62,0.92,0.7,Erik Hagmeier
1965-11-25T09:00,8,33.912,,,,,,,,,,,,
1965-11-26T10:10,8,33.999,3.28,0.33,8.6,12.21,0.99,3080,40,3040,0.22,0.04,0.18,Erik Hagmeier
1965-11-29T09:55,7.4,33.802,3.5,0.23,8,11.73,0.82,8040,3000,5040,1.72,1.5,0.22,Erik Hagmeier
1965-12-01T10:05,7.3,33.686,2.14,0.29,9.5,11.93,0.8,12960,5880,7080,1.44,1.1,0.34,Erik Hagmeier
1965-12-02T09:00,7.1,33.548,,,,,,,,,,,,
1965-12-03T10:05,6.9,33.591,2.86,0.31,7.9,11.07,0.94,17080,6000,11080,1.8,0.3,1.5,Erik Hagmeier
1965-12-06T10:05,6.8,33.344,3.57,0.06,9.1,12.73,0.79,19080,12080,7000,1.94,1.8,0.14,Erik Hagmeier
1965-12-07T09:00,6.9,33.361,,,,,,,,,,,,
1965-12-08T10:10,6.6,33.32,0.71,0.33,7.8,8.84,0.68,27960,10960,17000,1.66,0.84,0.82,Erik Hagmeier
1965-12-09T09:00,6.5,33.284,,,,,,,,,,,,
1965-12-10T10:10,6.5,33.266,1.21,0.38,12,13.59,0.62,14120,1120,13000,1.28,0.38,0.9,Erik Hagmeier
1965-12-13T10:30,5.8,32.961,1.64,0.38,13.1,15.12,0.76,4080,40,4040,0.64,0.4,0.24,Erik Hagmeier
1965-12-14T09:00,5.8,32.957,,,,,,,,,,,,
1965-12-15T10:15,5.9,33.027,1.28,0.45,12.4,14.13,0.04,18400,240,18160,14.73,14.05,0.68,Erik Hagmeier
1965-12-16T09:00,5.6,33.019,,,,,,,,,,,,
1965-12-17T10:35,5.6,33.019,1.57,0.51,11.1,13.18,0.82,12120,1120,11000,0.37,0.15,0.22,Erik Hagmeier
1965-12-20T10:30,5.5,32.883,1.71,0.73,9.9,12.34,0.74,29160,10160,19000,1.06,0.68,0.38,Erik Hagmeier
1965-12-21T09:00,5.6,32.889,,,,,,,,,,,,
1965-12-22T10:30,5.4,32.827,3,0.76,10.2,13.96,0.75,19400,8400,11000,1.56,1.34,0.22,Erik Hagmeier
1965-12-23T09:00,5.3,32.786,,,,,,,,,,,,
1965-12-27T10:50,5.2,32.783,2.86,0.99,12.9,16.75,0.91,7480,1440,6040,0.6,0.46,0.14,Erik Hagmeier
1965-12-28T09:00,4.9,32.511,,,,,,,,,,,,
1965-12-29T10:35,4.5,31.435,13.5,1.47,6.3,21.27,0.88,7440,400,7040,0.28,0.02,0.26,Erik Hagmeier
1965-12-30T09:00,4.6,32.042,,,,,,,,,,,,
1965-12-31T08:45,4.6,32.251,11.57,1.26,8.2,21.03,0.72,3360,320,3040,0.34,0.24,0.1,Erik Hagmeier
