Date,Temp,Sal,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1964-01-02T09:00,5.9,33.548,,,,,,,,,,,,
1964-01-03T09:35,5.7,33.559,7.71,1,9.7,18.41,0.83,82120,1120,81000,2.34,0.72,1.62,Erik Hagmeier
1964-01-04T09:00,5.7,33.574,,,,,,,,,,,,
1964-01-06T10:05,5.6,33.631,7.21,0.96,8.1,16.27,0.77,50560,1360,49200,2.45,0.62,1.82,Erik Hagmeier
1964-01-07T09:00,5.6,33.634,,,,,,,,,,,,
1964-01-08T09:25,5.6,33.64,7.28,0.97,9.4,17.65,1.17,104280,1080,103200,4.35,0.39,3.96,Erik Hagmeier
1964-01-09T09:00,5.4,33.538,,,,,,,,,,,,
1964-01-10T10:35,4.9,33.269,9.86,1.08,10.8,21.74,0.7,85320,0,85320,3.1,0,3.1,Erik Hagmeier
1964-01-13T10:05,4.7,33.584,8,0.93,8.3,17.23,0.62,130520,1360,129160,6.32,0.96,5.36,Erik Hagmeier
1964-01-14T09:00,4.5,33.666,,,,,,,,,,,,
1964-01-15T09:55,4.1,33.5,8.86,0.97,9.5,19.33,0.63,85400,120,85280,3.3,0.24,3.06,Erik Hagmeier
1964-01-16T09:00,4.5,33.636,,,,,,,,,,,,
1964-01-17T09:10,4.5,33.757,7,0.89,9.4,17.29,0.64,205080,1960,203120,8.14,0.88,7.26,Erik Hagmeier
1964-01-18T09:00,4.4,33.779,,,,,,,,,,,,
1964-01-20T09:25,4.1,33.784,6.86,0.84,9.5,17.2,0.66,205360,1920,203440,7.81,0.85,6.96,Erik Hagmeier
1964-01-21T09:00,4.3,33.579,,,,,,,,,,,,
1964-01-22T09:55,4.3,33.572,7.14,0.76,8.6,16.5,0.95,56120,960,55160,2.44,0.29,2.16,Erik Hagmeier
1964-01-23T09:00,4,33.038,,,,,,,,,,,,
1964-01-24T09:50,4.1,33.614,8.21,0.91,8.4,17.52,0.81,268160,0,268160,6.26,0,6.26,Erik Hagmeier
1964-01-27T10:00,4.2,33.342,6.28,0.51,5.1,11.89,,,,,,,,
1964-01-28T09:00,3.8,33.094,,,,,,,,,,,,
1964-01-29T10:00,3.8,33.078,8.93,0.7,6.7,16.33,,,,,,,,
1964-01-30T09:00,3.9,33.136,,,,,,,,,,,,
1964-01-31T09:00,4.1,33.418,,,,,,,,,,,,
1964-02-01T09:00,4.3,33.38,,,,,,,,,,,,
1964-02-03T10:00,4.4,33.225,7,0.51,7,14.51,1.74,132400,240,132160,4.68,0.96,3.72,Erik Hagmeier
1964-02-04T09:00,4.2,33.274,,,,,,,,,,,,
1964-02-05T09:05,3.8,33.249,10.71,0.78,8.2,19.69,1,169240,1200,168040,6.4,1.01,5.39,Erik Hagmeier
1964-02-06T09:00,3.3,32.304,,,,,,,,,,,,
1964-02-07T10:05,2.8,31.262,15.21,0.91,12.2,28.32,1.41,178880,880,178000,7.07,0.26,6.81,Erik Hagmeier
1964-02-10T10:05,3.5,31.834,15.64,0.88,11,27.52,1.24,221120,1120,220000,8.79,0.34,8.45,Erik Hagmeier
1964-02-11T09:00,3.4,31.888,,,,,,,,,,,,
1964-02-12T09:55,3.5,32.093,17.78,1.1,11.2,30.08,2.04,263080,1080,262000,9.43,0.79,8.64,Erik Hagmeier
1964-02-13T09:00,2.9,31.813,,,,,,,,,,,,
1964-02-14T09:15,2.8,31.936,18.64,1.24,12.4,32.28,1.32,281160,80,281080,8.62,0.05,8.57,Erik Hagmeier
1964-02-18T09:00,,,18.07,1.33,7.6,27,1.3,400700,700,400000,13.57,1.42,12.15,Erik Hagmeier
1964-02-19T09:45,1.8,31.137,20.36,1.24,12.1,33.7,0.98,88200,80,88120,3.17,0.16,3.01,Erik Hagmeier
1964-02-20T09:00,2.1,31.428,,,,,,,,,,,,
1964-02-21T09:40,2.9,32.217,15.86,1.15,12,29.01,0.94,165080,80,165000,5.42,0.32,5.1,Erik Hagmeier
1964-02-24T09:20,2.4,31.967,17.64,1.2,13.1,31.94,0.7,64720,720,64000,2.74,0.51,2.23,Erik Hagmeier
1964-02-25T09:00,3.2,32.895,,,,,,,,,,,,
1964-02-26T09:55,3.1,33.005,11.93,0.93,9.9,22.76,0.87,103120,80,103040,4.08,0.32,3.76,Erik Hagmeier
1964-02-27T09:00,3.4,33.255,,,,,,,,,,,,
1964-02-29T08:25,3.3,33.566,8.86,0.78,8.4,18.04,0.63,52240,1240,51000,2.79,0.82,1.97,Erik Hagmeier
1964-03-02T08:50,2.9,33.3,11.64,0.8,10.1,22.54,0.91,155040,840,154200,6.23,0.25,5.98,Erik Hagmeier
1964-03-03T09:00,2.8,33.329,,,,,,,,,,,,
1964-03-04T10:15,2.5,32.057,17.93,1.06,11.6,30.59,0.71,197520,400,197120,6.61,0.12,6.49,Erik Hagmeier
1964-03-05T09:00,2.3,31.683,,,,,,,,,,,,
1964-03-06T09:50,1.9,31.056,14.21,0.71,12.7,27.62,0.95,189640,1640,188000,12.45,2.54,9.91,Erik Hagmeier
1964-03-07T09:00,1.7,30.913,,,,,,,,,,,,
1964-03-09T09:35,2.1,31.537,20.71,1.11,9.8,31.62,0.84,156600,1600,155000,20.02,14.82,5.2,Erik Hagmeier
1964-03-10T09:00,2.3,31.641,,,,,,,,,,,,
1964-03-11T10:05,2.7,32.59,11.07,0.7,11.3,23.07,1.04,98200,40,98160,17.96,14,3.96,Erik Hagmeier
1964-03-12T09:00,2.9,33.12,,,,,,,,,,,,
1964-03-16T10:55,2.7,33.649,8.07,0.88,9.2,18.15,0.66,224280,160,224120,9.95,0.88,9.07,Erik Hagmeier
1964-03-17T09:00,2.7,33.652,,,,,,,,,,,,
1964-03-18T09:50,2.6,33.538,8.28,0.83,9.2,18.31,0.78,126080,2000,124080,4.97,1.1,3.87,Erik Hagmeier
1964-03-19T09:00,2.5,33.516,,,,,,,,,,,,
1964-03-20T14:45,2.2,33.264,9.71,0.85,10.1,20.66,0.79,172840,1720,171120,6.91,1.34,5.57,Erik Hagmeier
