Date,Temp,Sal,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1966-01-03T10:40,5,32.269,12.71,1.51,15.8,30.02,0.48,,6600,600,6000,0.78,0.18,0.6,Erik Hagmeier
1966-01-04T09:00,4.9,31.872,,,,,,,,,,,,,
1966-01-05T10:20,4.5,31.942,15.14,2.19,16.9,34.23,0.84,,8000,3000,5000,1.12,0.34,0.78,Erik Hagmeier
1966-01-06T09:00,4.3,32.061,,,,,,,,,,,,,
1966-01-07T08:55,4.3,32.071,14.64,1.85,16.1,32.59,1.02,,10000,0,10000,1.16,0,1.16,Erik Hagmeier
1966-01-10T10:35,4,32.076,8.57,1.81,9.4,19.78,1.06,,17080,13040,4040,4.58,4.3,0.28,Erik Hagmeier
1966-01-11T09:00,3.8,32.149,,,,,,,,,,,,,
1966-01-12T10:35,3.5,31.808,16.5,1.74,13.1,31.34,0.88,,4040,4000,40,0.34,0.14,0.2,Erik Hagmeier
1966-01-13T09:00,3.3,31.28,,,,,,,,,,,,,
1966-01-14T08:55,2.5,29.734,23.36,2.34,17.7,43.4,1.27,,,,,,,,
1966-01-17T10:15,2,29.501,17.93,2.31,16.2,36.44,1.08,,7000,0,7000,0.14,0,0.14,Erik Hagmeier
1966-01-18T09:00,2.6,30.372,,,,,,,,,,,,,
1966-01-19T10:15,2.1,31.174,19.29,1.86,17,38.15,0.82,,4560,1560,3000,0.33,0.27,0.06,Erik Hagmeier
1966-01-20T09:00,2.6,31.764,,,,,,,,,,,,,
1966-01-21T09:10,2.9,31.165,20.14,1.89,14.4,36.43,0.86,,10680,680,10000,0.67,0.23,0.44,Erik Hagmeier
1966-01-24T10:20,3.3,33.215,10.86,1.13,9.4,21.39,0.57,,6040,40,6000,0.28,0.16,0.12,Erik Hagmeier
1966-01-25T09:00,3.2,33.188,,,,,,,,,,,,,
1966-01-26T10:20,3.1,33.415,9.36,0.91,7.1,17.37,0.59,,3480,2480,1000,0.88,0.38,0.5,Erik Hagmeier
1966-01-27T09:00,3,33.519,,,,,,,,,,,,,
1966-01-28T10:10,3.3,33.666,6.71,0.89,5.2,12.8,0.55,,17000,6000,11000,2.42,1.8,0.62,Erik Hagmeier
1966-01-31T10:10,3.5,33.875,7.14,0.79,4.9,12.83,0.82,,20520,9400,11120,1.48,0.68,0.8,Erik Hagmeier
1966-02-01T09:00,3.5,33.864,,,,,,,,,,,,,
1966-02-02T10:25,3.4,33.794,7.64,0.84,9.2,17.68,0.63,,14040,4000,10040,0.6,0.08,0.52,Erik Hagmeier
1966-02-03T09:00,3.4,33.81,,,,,,,,,,,,,
1966-02-04T10:15,3.5,33.846,6.86,0.83,7.3,14.99,0.53,,12440,360,12080,0.78,0.14,0.64,Erik Hagmeier
1966-02-07T10:20,3.5,33.678,8.14,0.84,6.5,15.48,0.54,,7000,0,7000,0.22,0,0.22,Erik Hagmeier
1966-02-08T09:00,2.9,33.581,,,,,,,,,,,,,
1966-02-09T09:00,2.4,33.4,,,,,,,,,,,,,
1966-02-10T10:25,2.2,33.754,8.14,0.77,7.1,16.01,0.67,11.1,7040,40,7000,0.66,0.04,0.62,Erik Hagmeier
1966-02-11T10:25,2,33.71,7.43,0.7,5.6,13.73,0.71,11.6,,,,,,,
1966-02-14T10:40,2,34.009,6.5,0.53,8.1,15.13,0.71,10,14680,600,14080,0.66,0.18,0.48,Erik Hagmeier
1966-02-15T09:00,2.2,34.124,,,,,,,,,,,,,
1966-02-16T10:30,2,33.859,7.21,0.44,9.5,17.15,0.55,10.6,17040,40,17000,0.78,0.12,0.66,Erik Hagmeier
1966-02-17T09:00,1.6,33.927,,,,,,,,,,,,,
1966-02-18T10:20,1.8,33.8,8.36,0.52,7.9,16.78,0.58,10.3,12000,2000,10000,0.4,0.2,0.2,Erik Hagmeier
1966-02-21T10:35,2.2,33.922,7.43,0.41,6.2,14.04,0.55,10.2,10200,1200,9000,0.54,0.36,0.18,Erik Hagmeier
1966-02-22T09:00,2.4,34.014,,,,,,,,,,,,,
1966-02-23T09:50,2.5,34.099,4.64,0.31,6.1,11.05,0.55,8.9,5000,0,5000,0.1,0,0.1,Erik Hagmeier
1966-02-24T09:00,2.7,34.092,,,,,,,,,,,,,
1966-02-25T08:30,2.7,34.03,5.94,0.29,4.3,10.53,0.57,9.9,11440,3440,8000,2.18,2.02,0.16,Erik Hagmeier
1966-02-28T10:20,3,34.01,5.36,0.27,4,9.63,0.5,9.4,14200,3160,11040,1.6,0.94,0.66,Erik Hagmeier
1966-03-02T09:45,2.7,32.36,11.36,0.56,10,21.92,0.74,20.1,12080,80,12000,1.94,0.12,1.82,Erik Hagmeier
1966-03-03T09:00,3,33.733,,,,,,,,,,,,,
1966-03-04T10:00,2.9,33.744,7.79,0.36,4.2,12.35,0.6,11.1,32000,4000,28000,4.87,1.86,3.01,Erik Hagmeier
1966-03-07T10:05,2.9,33.553,8.29,0.5,5.9,14.69,0.72,12.8,9280,3280,6000,0.85,0.49,0.36,Erik Hagmeier
1966-03-08T09:00,3,33.398,,,,,,,,,,,,,
1966-03-09T09:50,3,33.589,9.14,0.46,4.7,14.3,0.59,22.4,8000,4000,4000,0.52,0.44,0.08,Erik Hagmeier
