Date,Depth_water,Temp,Sal,Depth,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1990-01-02T07:25,0.5,6.7,33.466,5,28.84,2.15,2.77,33.76,0.75,13.1,911480,800,910680,20.51,0.24,20.27,Klaus Treutner
1990-01-03T07:25,0.5,6.9,33.529,6,15.37,2.24,2.32,19.93,0.79,13.3,577320,1600,575720,16.8,0.48,16.32,Klaus Treutner
1990-01-04T07:25,0.5,6.3,33.502,4.5,21.3,2,2.35,25.65,0.84,13.7,1040440,0,1040440,23.34,0,23.34,Klaus Treutner
1990-01-05T07:30,0.5,6.5,33.519,5.2,22.15,2.08,1.97,26.2,0.82,12.8,511440,1120,510320,11.99,0.26,11.73,Klaus Treutner
1990-01-08T07:35,0.5,6.6,33.466,5,30.62,1.99,2.59,35.2,0.78,13.3,411720,1360,410360,11,0.27,10.74,Klaus Treutner
1990-01-09T07:45,0.5,6.5,33.535,5.2,27.72,2.07,1.67,31.46,0.79,12,696840,1600,695240,19.05,0.38,18.67,Klaus Treutner
1990-01-10T07:45,0.5,6.6,33.572,6,34.63,2.1,1.22,37.95,0.76,12.2,863200,2800,860400,24.08,0.84,23.24,Klaus Treutner
1990-01-11T07:25,0.5,6.6,33.565,3,23.94,1.95,2.04,27.93,0.7,12.9,631800,1280,630520,14.59,0.44,14.15,Klaus Treutner
1990-01-12T07:40,0.5,6.7,33.583,3,27.32,1.95,1.14,30.41,0.76,12.7,911120,800,910320,20.47,0.24,20.23,Klaus Treutner
1990-01-15T07:40,0.5,6.3,33.559,3.3,29.1,1.72,1.63,32.45,0.61,11.6,1032200,1280,1030920,23.08,0.38,22.69,Klaus Treutner
1990-01-16T07:55,0.5,6.5,33.57,2.9,43.18,1.71,1.87,46.76,0.58,11.5,900640,0,900640,19.56,0,19.56,Klaus Treutner
