Date,Temp,Sal,Depth,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1974-01-02T09:20,3.9,32.268,1.4,8.2,2.38,10.2,20.78,0.83,12.5,106640,23340,83300,6.49,3.4,3.09,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-04T09:35,4.1,32.473,1.8,6.9,2.44,8.6,17.94,0.9,11.5,86140,2440,83700,3.42,0.93,2.48,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-07T08:55,4.2,32.73,1.6,4.91,2.3,8.8,16.01,0.89,9.5,25380,6330,19050,17.34,16.63,0.71,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-09T09:00,4.3,32.893,1.4,5.26,2.24,8,15.5,1.06,9.7,132080,18780,113300,7.78,4.42,3.36,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-11T09:20,4.2,33.019,1.4,7.19,2.21,8.3,17.7,0.85,9.9,100290,5240,95050,7.2,3.22,3.98,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-14T09:05,4.5,33.448,1.2,7.79,1.89,5.4,15.08,0.66,4,108400,240,108160,4.13,0.38,3.75,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-16T09:20,4.6,33.328,0.6,5.78,1.6,9.6,16.98,1.08,5.6,141320,31320,110000,9.7,5.63,4.07,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-18T09:35,4.7,33.008,0.7,7.15,1.91,8.8,17.86,0.99,6.5,73400,240,73160,3.69,0.48,3.21,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-21T09:20,4.6,32.883,1,11.18,2.08,5.1,18.36,0.9,1.7,164700,11360,153340,7.95,4.72,3.23,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-23T09:00,4.4,32.505,1.2,13.1,2.47,12.4,27.97,0.89,0.3,205000,28700,176300,7.39,2.77,4.62,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-25T10:10,4.5,32.789,1.2,10.53,2.33,13.3,26.16,0.99,1.7,104580,1600,102980,3.87,0.72,3.15,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-28T09:30,4.5,32.937,1.4,9.2,2.06,12.3,23.56,0.98,2.1,354980,59890,295090,29.78,21.31,8.48,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-01-30T09:20,4.4,32.934,1.3,11.14,2.32,11,24.46,0.73,5.3,186280,25640,160640,8.54,2.56,5.98,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-01T09:10,4.5,33.102,1.4,7.84,2.08,7.5,17.42,0.78,16.7,377165,2125,375040,11.22,1.06,10.16,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-04T09:00,4.5,33.168,2,8.67,2.29,10.6,21.56,0.77,15.7,117280,880,116400,3.61,0.33,3.28,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-06T09:05,4.5,33.176,2.1,10.14,2.27,9.4,21.81,0.82,14.6,197040,23440,173600,15.24,1.5,13.74,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-08T09:35,4.4,33.268,1.2,7.84,1.87,8.9,18.61,0.83,13.9,127680,680,127000,3.87,0.41,3.46,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-11T09:30,4.8,32.961,1.7,10.1,2.31,9,21.41,0.97,14.1,462890,115140,347750,13.36,5.55,7.81,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-13T08:50,4.7,33.065,1.3,9.52,1.93,9.8,21.25,1,17.9,107040,3700,103340,4.23,1.5,2.73,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-15T09:30,4.7,33.092,1.8,6.94,2.09,4.9,13.93,0.87,12.9,83230,10230,73000,3.56,2.1,1.46,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-18T08:40,4.9,33.1,3,10.46,1.75,9.2,21.41,0.85,18,124240,3500,120740,3.19,0.28,2.91,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-20T09:05,4.7,32.696,2.5,12.23,1.77,13.2,27.2,0.89,13.4,20740,5140,15600,1.09,0.61,0.48,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-22T09:15,4.9,32.884,2,12.53,1.5,8.4,22.43,0.92,14.6,146310,33230,113080,7.64,4.58,3.06,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-25T09:05,4.6,31.978,1.7,7.59,1.65,8.6,17.84,1.11,16.9,240690,13690,227000,10.98,5.09,5.89,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-27T09:00,4.6,32.312,2,15.86,1.51,10.1,27.47,1.1,14.3,114680,4340,110340,7.17,0.54,6.63,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-02-28T09:00,,,1.2,,,,,,,,,,,,,
1974-03-01T08:50,4.4,32.438,1.5,18.6,1.33,11,30.93,1.04,14.3,106160,80,106080,3.2,0.8,2.4,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-04T08:45,4.7,33.101,2.8,12.54,1.25,9.4,23.19,0.85,9.9,259880,6050,253830,9.81,2.29,7.52,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-05T09:00,,,2.5,,,,,,,,,,,,,
1974-03-06T08:40,4.8,33.157,2.5,13.47,1.16,10.4,25.03,0.9,9.9,202300,12140,190160,19.89,13.99,5.9,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-07T09:00,,,4.6,,,,,,,,,,,,,
1974-03-08T09:10,4.8,33.286,4.1,12.35,0.93,8.8,22.08,0.9,9.4,221555,770,220785,9.24,0.47,8.77,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-11T09:00,4.4,33.323,3,12.11,0.98,9,22.09,0.91,6.1,751425,675,750750,23.67,0.77,22.9,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-12T09:00,,,3,,,,,,,,,,,,,
1974-03-13T08:30,4.7,33.426,4,9.79,0.99,9.2,19.98,0.91,5.9,149540,18700,130840,27.07,1.95,25.12,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-14T09:00,,,5.1,,,,,,,,,,,,,
1974-03-15T08:45,4.9,33.535,4.8,10.55,0.97,11.2,22.72,0.85,7.7,254530,810,253720,22.09,14.19,7.9,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-18T08:50,5.1,33.53,2.2,9.39,0.89,8.2,18.48,0.97,9.2,342000,1440,340560,27.67,15.72,11.95,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-19T09:00,,,3,,,,,,,,,,,,,
1974-03-20T08:40,5.2,33.515,3.8,9.38,0.91,8.4,18.69,0.89,8.6,,,,,,,
1974-03-21T09:00,,,5.2,,,,,,,,,,,,,
1974-03-22T08:45,5.1,33.432,6,13.33,1.03,8.6,22.96,0.86,9,172320,1780,170540,13.18,7.43,5.75,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-25T09:15,5.1,33.331,4.5,12.73,1.06,10.3,24.09,0.92,9.1,208840,1200,207640,9.85,1.5,8.35,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-26T09:00,,,6,,,,,,,,,,,,,
1974-03-27T08:35,5.3,33.574,4.3,12.73,0.98,10.3,24.01,0.87,8.6,105140,4740,100400,25.59,16.64,8.95,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-03-28T09:00,,,5.5,,,,,,,,,,,,,
1974-03-29T08:35,5.5,33.524,5,11.64,1,6.9,19.54,0.9,9.6,255380,1130,254250,22.66,15.14,7.52,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-01T09:05,5.8,32.448,4.2,17.79,1.11,8,26.9,0.57,14,218000,14280,203720,25.18,16.37,8.82,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-02T09:00,,,5.5,,,,,,,,,,,,,
1974-04-03T08:45,5.9,33.218,6.3,14.88,1.03,5.7,21.61,0.85,10.2,36100,5540,30560,61.06,58.97,2.08,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-04T09:00,,,5.6,,,,,,,,,,,,,
1974-04-05T08:45,6.2,33.317,6.5,13.76,1.02,7.5,22.28,0.87,10.2,107680,3840,103840,18.22,14.76,3.46,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-08T08:45,6.5,33.26,6,15.01,1,5,21.01,0.8,10.1,176620,33540,143080,6.08,1.98,4.1,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-09T09:00,,,6,,,,,,,,,,,,,
1974-04-10T08:45,6.9,32.659,5.8,13.37,1.1,6.8,21.27,0.78,11.1,119060,22120,96940,28.93,21.14,7.79,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-11T09:00,,,6.4,,,,,,,,,,,,,
1974-04-16T09:15,7.2,31.763,5.5,16.95,1.09,4.2,22.24,0.32,7.1,333340,143240,190100,626.22,619.57,6.65,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-17T08:55,7.4,31.823,5,16.35,1.07,3.1,20.52,0.31,2.9,819280,245960,573320,609.29,580.51,28.78,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-18T09:00,,,5.7,,,,,,,,,,,,,
1974-04-19T08:45,7.5,32.022,5.1,12.79,1.08,3.2,17.07,0.18,4.7,755700,394480,361220,266.41,235.46,30.95,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-22T09:00,7.9,31.938,4.1,14.28,0.98,5.1,20.36,0.18,1.8,1119420,618560,500860,294.2,210.51,83.69,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-23T09:00,,,4.6,,,,,,,,,,,,,
1974-04-24T08:55,7.1,33.193,4,10.41,0.79,3.7,14.9,0.33,3.3,800240,409000,391240,200.13,187.15,12.98,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-25T09:00,,,3.5,,,,,,,918280,273120,645160,303.9,284.41,19.49,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-26T09:25,7.8,32.005,3.5,12.2,0.91,10.8,23.91,0.43,1.5,1331740,264840,1066900,102.01,62.45,39.57,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-29T09:00,7.7,32.501,4.5,12.02,0.8,4.9,17.72,0.24,1.9,2011080,438140,1572940,101.96,74.92,27.04,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-04-30T09:20,7.9,31.992,4.5,13.69,0.82,,,0.25,2.8,,,,,,,
1974-05-02T08:40,7.5,33.002,5.2,10.57,0.69,8.8,20.06,0.36,2.8,,,,,,,
1974-05-03T08:30,7.8,32.814,6.9,10.89,0.7,5.5,17.09,0.29,2.3,1778600,165600,1613000,58.22,30.87,27.35,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-05-06T09:05,7.5,32.838,3,9.93,0.6,6.9,17.43,0.38,3.8,2303880,30160,2273720,42.6,13.23,29.37,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-05-07T09:00,,,4.5,,,,,,,,,,,,,
1974-05-08T08:50,7.5,33.011,5,8.45,0.57,6.7,15.72,0.31,3.2,2029850,56310,1973540,42.4,18.74,23.66,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-05-09T09:00,,,7.2,,,,,,,,,,,,,
1974-05-10T08:50,8.5,31.863,5,10.01,0.57,5.5,16.08,0.23,3.2,1067960,10600,1057360,32.1,7.86,24.24,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-05-13T08:30,8.9,32.24,6.2,9.49,0.56,8,18.05,0.37,3.6,428000,70860,357140,81.07,69.39,11.68,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-05-14T09:00,,,5.5,,,,,,,,,,,,,
1974-05-15T08:45,8.4,33.133,6.2,6.98,0.54,,,0.66,3.3,352520,5680,346840,14.52,5.62,8.9,Peter Weigel; Margrit Kanje; Erik Hagmeier
1974-05-16T09:00,,,6.8,,,,,,,,,,,,,
