Date,Temp,Sal,Depth,Nitrate,Nitrite,Ammonium,DIN,Phosphate,Silicate,Phytopl,Diatoms,Flag,Phytopl_C,Diatom_C,Flag_C,Analyst
1980-01-02T10:10,6.3,33.18,2.5,17.68,0.72,6.89,25.29,0.97,4.9,676375,475,675900,17.27,0.85,16.42,Klaus Treutner
1980-01-03T11:30,6,33.051,3.2,16.24,0.63,6.8,23.67,0.83,4,826425,525,825900,21.43,0.82,20.61,Klaus Treutner
1980-01-04T09:25,5.6,32.783,2.9,18.57,0.95,6.8,26.32,1.06,3.8,601050,300,600750,18.2,0.5,17.71,Klaus Treutner
1980-01-07T09:50,5.6,33.102,2.2,19.59,0.85,7.24,27.68,1.2,5.1,625740,100,625640,19.62,0.03,19.59,Klaus Treutner
1980-01-08T09:50,5.4,33.102,3.8,16.8,0.89,7.09,24.78,1.24,4.4,676325,250,676075,16.69,0.25,16.45,Klaus Treutner
1980-01-09T10:00,5.3,33.206,4.1,13.46,0.71,5.9,20.07,1.15,4.8,701350,175,701175,18.64,0.22,18.42,Klaus Treutner
1980-01-10T09:30,4.9,33.145,4.1,12.61,0.9,6.14,19.65,1.22,4.4,701850,350,701500,19.03,0.36,18.67,Klaus Treutner
1980-01-11T09:30,4.9,33.24,4.4,13.18,0.9,6.65,20.73,1.05,5.4,826925,750,826175,21.25,0.33,20.92,Klaus Treutner
1980-01-14T09:30,3.8,32.927,4.8,17.88,1.1,6.71,25.69,1.01,4.4,852125,675,851450,22.89,0.05,22.84,Klaus Treutner
1980-01-15T09:30,4.3,33.15,3,15.02,1.03,5.72,21.77,1.16,7.7,850900,0,850900,22.36,0,22.36,Klaus Treutner
1980-01-16T09:45,4.5,33.309,2.9,15.52,1.03,5.67,22.22,1.11,5.3,550925,225,550700,14.25,0.47,13.78,Klaus Treutner
1980-01-17T09:25,4.3,33.194,3.1,16.58,1.03,5.66,23.27,1.08,4.8,826350,600,825750,21.06,0.51,20.55,Klaus Treutner
1980-01-18T09:30,4.1,33.242,4.1,17.74,1.21,6.34,25.29,1.02,7.2,1201530,75,1201450,29.5,0.02,29.48,Klaus Treutner
1980-01-21T10:05,4.2,33.776,3.6,17.36,1.19,7.1,25.65,1.07,4.8,875100,100,875000,23.95,0.2,23.75,Klaus Treutner
1980-01-22T08:45,5,34.15,3.1,12.43,1.1,4.6,18.13,0.98,4.4,825950,225,825725,20.8,0.2,20.61,Klaus Treutner
1980-01-23T10:00,4.9,34.067,3,11.92,1.23,3.7,16.85,0.54,4.1,750750,250,750500,15.81,0.52,15.29,Klaus Treutner
1980-01-24T09:55,5,34.149,3.2,13.75,1.09,3.39,18.23,0.63,5.6,1150600,150,1150450,30.85,0.17,30.68,Klaus Treutner
1980-01-25T08:20,5,34.267,3.7,14.18,1.18,4.21,19.57,0.68,4.8,875850,700,875150,24.04,0.23,23.81,Klaus Treutner
1980-01-28T09:40,4.4,34.298,2.5,13.76,1.11,3.89,18.76,0.83,3.7,875675,525,875150,24.62,0.62,24.01,Klaus Treutner
1980-01-29T09:50,4.4,34.291,3.1,13.08,1.13,3.27,17.48,0.8,6.3,950100,100,950000,22.95,0.2,22.75,Klaus Treutner
1980-01-30T10:20,4.6,34.275,3,13.48,1.19,3.67,18.34,0.7,5.7,1101180,850,1100330,27.43,0.21,27.22,Klaus Treutner
1980-01-31T09:40,4.5,34.264,1.4,11.68,1.18,4.29,17.15,0.84,6.6,1375980,450,1375530,35.64,0.6,35.04,Klaus Treutner
1980-02-01T09:45,3.9,33.979,1.7,12.72,1.12,4.24,18.08,0.81,5.7,576650,1650,575000,16.59,1.34,15.25,Klaus Treutner
1980-02-04T09:45,3.8,33.959,2.1,13.83,1.18,4.67,19.68,0.98,3.7,600900,900,600000,17.08,0.08,17,Klaus Treutner
1980-02-05T13:50,3.4,33.845,2.8,14.7,1.13,4.14,19.97,0.89,5.3,626525,1525,625000,19.31,0.56,18.75,Klaus Treutner
1980-02-06T08:40,3.2,33.791,2.9,13.96,0.9,4.29,19.15,0.82,7.5,827000,1850,825150,20.77,0.46,20.31,Klaus Treutner
1980-02-07T09:10,3.1,33.743,3,14.58,0.86,4.48,19.92,0.75,9.1,576175,925,575250,15.53,0.09,15.44,Klaus Treutner
1980-02-08T09:15,3.3,33.751,3.4,12.69,0.75,3.9,17.34,0.66,10.3,726050,750,725300,19.88,0.26,19.62,Klaus Treutner
1980-02-11T09:25,3.6,33.674,4.5,12.59,0.68,5.71,18.98,0.76,9.7,876400,1050,875350,25.47,1.58,23.89,Klaus Treutner
1980-02-12T09:00,3.6,33.649,4.7,13.25,0.76,3.64,17.65,0.91,10.8,800700,0,800700,25.03,0,25.03,Klaus Treutner
1980-02-13T09:15,3.6,33.619,4.9,12.29,0.71,4.57,17.57,0.93,11.2,977150,1650,975500,24.78,0.08,24.7,Klaus Treutner
1980-02-14T09:10,3.8,33.595,5.3,12.32,0.76,4.28,17.36,0.81,10.1,901725,750,900975,26.22,0.08,26.15,Klaus Treutner
1980-02-15T09:20,3.6,33.574,5,12.84,0.79,4.29,17.92,0.78,10.8,1051650,950,1050700,30.08,0.05,30.03,Klaus Treutner
1980-02-18T09:00,3.6,33.523,4.2,14.85,0.7,4.23,19.78,0.9,10.8,826450,900,825550,20.85,0.38,20.47,Klaus Treutner
1980-02-19T09:10,3.3,33.523,3.8,14.62,0.74,4.29,19.65,0.87,10.3,1026300,975,1025330,28.65,0.36,28.29,Klaus Treutner
1980-02-20T09:00,3.2,33.512,3.5,14.26,0.75,5.3,20.31,0.76,10.5,1151130,775,1150350,31.34,0.63,30.71,Klaus Treutner
1980-02-21T08:50,3.2,33.499,3.5,14.18,0.79,5.15,20.12,0.89,10.6,1500580,250,1500330,43.12,0.33,42.79,Klaus Treutner
1980-02-22T08:45,3.3,33.542,3,13.74,0.74,4.44,18.92,0.87,11.4,900475,250,900225,26.11,0.52,25.59,Klaus Treutner
1980-02-25T08:50,3.3,33.481,4.3,17.39,1.02,5.87,24.28,0.8,10.8,1375900,150,1375750,40.59,0.05,40.54,Klaus Treutner
